"사용월","호선명","지하철역","유임승차인원","무임승차인원","유임하차인원","무임하차인원","작업일자"
"201712","1호선","종각","1341757","166079","1260495","156449","20180103"
"201712","1호선","제기동","296747","321443","290519","341428","20180103"
"201712","1호선","청량리(서울시립대입구)","526470","321642","558829","323984","20180103"
"201712","1호선","시청","705560","97384","699108","95912","20180103"
"201712","1호선","서울역","1485919","211349","1450014","205383","20180103"
"201712","1호선","동묘앞","174868","134444","187075","136192","20180103"
"201712","1호선","동대문","355005","137250","414439","143800","20180103"
"201712","1호선","신설동","381805","121716","371663","116935","20180103"
"201712","1호선","종로5가","568364","266374","574230","256196","20180103"
"201712","1호선","종로3가","741139","381909","689312","353920","20180103"
"201712","2호선","도림천","28201","6356","31632","7145","20180103"
"201712","2호선","동대문역사문화공원","517722","61880","611607","66680","20180103"
"201712","2호선","뚝섬","436308","62507","465542","62885","20180103"
"201712","2호선","당산","584661","67224","663567","73460","20180103"
"201712","2호선","낙성대","826102","114714","777857","115378","20180103"
"201712","2호선","구의(광진구청)","632152","107291","607406","108623","20180103"
"201712","2호선","구로디지털단지","1779700","171539","1774999","173232","20180103"
"201712","2호선","교대(법원.검찰청)","940969","176469","1070430","201932","20180103"
"201712","2호선","건대입구","1311016","98292","1455188","102754","20180103"
"201712","2호선","홍대입구","2453067","117894","2664632","115609","20180103"
"201712","2호선","강남","2999217","175196","3072815","158197","20180103"
"201712","2호선","대림(구로구청)","802375","114807","827570","118594","20180103"
"201712","2호선","삼성(무역센터)","1844750","130990","1911855","124850","20180103"
"201712","2호선","상왕십리","362922","67680","340072","68472","20180103"
"201712","2호선","서울대입구(관악구청)","1428443","203862","1372829","195472","20180103"
"201712","2호선","서초","630522","90510","630608","90632","20180103"
"201712","2호선","선릉","1469709","214663","1262950","184946","20180103"
"201712","2호선","성수","708808","101374","777351","103916","20180103"
"201712","2호선","시청","718081","61064","669687","56078","20180103"
"201712","2호선","신답","32880","10018","37386","10919","20180103"
"201712","2호선","신당","369756","104942","390030","107642","20180103"
"201712","2호선","신대방","748679","127471","696496","128979","20180103"
"201712","2호선","신도림","1724813","208102","1727013","199873","20180103"
"201712","2호선","신림","1966259","246453","1912394","254530","20180103"
"201712","2호선","신설동","101161","37843","96910","39276","20180103"
"201712","2호선","신정네거리","236588","64701","241899","66020","20180103"
"201712","2호선","신촌","1434233","145217","1464082","143494","20180103"
"201712","2호선","아현","261803","63777","251014","64224","20180103"
"201712","2호선","양천구청","168158","44232","176601","45179","20180103"
"201712","2호선","역삼","1265021","159264","1395727","162019","20180103"
"201712","2호선","영등포구청","563733","106628","577758","105152","20180103"
"201712","2호선","왕십리(성동구청)","574752","61683","464303","51215","20180103"
"201712","2호선","용답","66554","16600","66965","16373","20180103"
"201712","2호선","용두(동대문구청)","48936","23011","51017","24427","20180103"
"201712","2호선","을지로3가","550014","90958","544251","89879","20180103"
"201712","2호선","을지로4가","291664","92741","288720","88099","20180103"
"201712","2호선","을지로입구","1499355","122345","1477801","113149","20180103"
"201712","2호선","이대","576751","68591","606791","69603","20180103"
