"사용일자","호선명","역명","승차총승객수","하차총승객수","등록일자"
"20241120","우이신설선","4.19민주묘지","4532","4412","20241123"
"20241120","경원선","가능","7004","6864","20241123"
"20241120","8호선","가락시장","9937","10757","20241123"
"20241120","3호선","가락시장","10385","10144","20241123"
"20241120","7호선","가산디지털단지","50823","50856","20241123"
"20241120","경부선","가산디지털단지","20780","23639","20241123"
"20241120","9호선","가양","24838","24678","20241123"
"20241120","우이신설선","가오리","4711","4731","20241123"
"20241120","경의선","가좌","6385","6225","20241123"
"20241120","분당선","가천대","12748","13162","20241123"
"20241120","경춘선","가평","1870","1850","20241123"
"20241120","경인선","간석","5900","5730","20241123"
"20241120","경춘선","갈매","3126","2753","20241123"
"20241120","2호선","강남","86464","84894","20241123"
"20241120","7호선","강남구청","18650","20824","20241123"
"20241120","분당선","강남구청","10594","11930","20241123"
"20241120","5호선","강동","21322","20853","20241123"
"20241120","8호선","강동구청","12153","12590","20241123"
"20241120","경의선","강매","3540","3140","20241123"
"20241120","2호선","강변(동서울터미널)","28743","26325","20241123"
"20241120","5호선","강일","7179","6573","20241123"
"20241120","경춘선","강촌","518","464","20241123"
"20241120","5호선","개롱","7835","7996","20241123"
"20241120","경인선","개봉","22702","22735","20241123"
"20241120","분당선","개포동","4779","5090","20241123"
"20241120","9호선","개화","3244","2118","20241123"
"20241120","5호선","개화산","6968","6572","20241123"
"20241120","5호선","거여","12013","11548","20241123"
"20241120","7호선","건대입구","15294","15465","20241123"
"20241120","2호선","건대입구","38193","39660","20241123"
"20241120","공항철도 1호선","검암","6984","7092","20241123"
"20241120","경강선","경기광주","8655","8363","20241123"
"20241120","과천선","경마공원","2078","2111","20241123"
"20241120","3호선","경복궁(정부서울청사)","30231","29887","20241123"
"20241120","3호선","경찰병원","8752","8697","20241123"
"20241120","공항철도 1호선","계양","14670","14215","20241123"
"20241120","5호선","고덕","12090","11739","20241123"
"20241120","6호선","고려대(종암)","10555","10378","20241123"
"20241120","수인선","고색","6521","6308","20241123"
"20241120","9호선","고속터미널","15260","19761","20241123"
"20241120","7호선","고속터미널","18258","15752","20241123"
"20241120","3호선","고속터미널","46297","43346","20241123"
"20241120","안산선","고잔","9989","9690","20241123"
"20241120","경의선","곡산","694","726","20241123"
"20241120","경강선","곤지암","2709","2644","20241123"
"20241120","6호선","공덕","22178","21792","20241123"
"20241120","공항철도 1호선","공덕","3191","4205","20241123"
"20241120","경의선","공덕","4287","3583","20241123"
"20241120","5호선","공덕","16952","17829","20241123"
"20241120","7호선","공릉(서울과학기술대)","14014","13762","20241123"
"20241120","9호선","공항시장","3365","3669","20241123"
"20241120","공항철도 1호선","공항화물청사","2205","2292","20241123"
"20241120","과천선","과천","7366","6888","20241123"
"20241120","경부선","관악","7663","7422","20241123"
"20241120","신림선","관악산(서울대)","3325","3365","20241123"
"20241120","5호선","광나루(장신대)","13724","13142","20241123"
"20241120","경부선","광명","4112","3445","20241123"
"20241120","7호선","광명사거리","22167","21950","20241123"
"20241120","경원선","광운대","10091","9903","20241123"
"20241120","5호선","광화문(세종문화회관)","38711","40985","20241123"
"20241120","6호선","광흥창(서강)","10887","10492","20241123"
"20241120","2호선","교대(법원.검찰청)","36516","43748","20241123"
"20241120","3호선","교대(법원.검찰청)","19785","11486","20241123"
"20241120","경부선","구로","19169","19719","20241123"
"20241120","2호선","구로디지털단지","64432","63911","20241123"
"20241120","분당선","구룡","3943","3916","20241123"
"20241120","중앙선","구리","9113","9549","20241123"
"20241120","9호선","구반포","1555","1528","20241123"
"20241120","6호선","구산","9233","6906","20241123"
"20241120","분당선","구성","7350","7514","20241123"
"20241120","2호선","구의(광진구청)","28607","27836","20241123"
"20241120","경인선","구일","7338","7355","20241123"
"20241120","3호선","구파발","24389","23413","20241123"
"20241120","중앙선","국수","774","739","20241123"
"20241120","9호선","국회의사당","21442","21493","20241123"
"20241120","7호선","군자(능동)","16785","13594","20241123"
"20241120","5호선","군자(능동)","13124","14426","20241123"
"20241120","경부선","군포","7821","7872","20241123"
"20241120","경춘선","굴봉산","101","120","20241123"
"20241120","5호선","굽은다리(강동구민회관앞)","11053","10596","20241123"
"20241120","경춘선","금곡","1682","1645","20241123"
"20241120","경의선","금릉","5810","5614","20241123"
"20241120","경부선","금정","30937","31693","20241123"
"20241120","경부선","금천구청","11733","11954","20241123"
"20241120","경의선","금촌","6880","6725","20241123"
"20241120","3호선","금호","8928","8423","20241123"
"20241120","분당선","기흥","12458","11843","20241123"
"20241120","5호선","길동","9555","9782","20241123"
"20241120","4호선","길음","25178","25826","20241123"
"20241120","경춘선","김유정","349","411","20241123"
"20241120","공항철도 1호선","김포공항","9581","5034","20241123"
"20241120","5호선","김포공항","12237","8000","20241123"
"20241120","9호선","김포공항","6664","11447","20241123"
"20241120","서해선","김포공항","2892","4036","20241123"
"20241120","5호선","까치산","30548","29764","20241123"
"20241120","2호선","낙성대(강감찬)","30417","29824","20241123"
"20241120","7호선","남구로","16652","17553","20241123"
"20241120","수인선","남동인더스파크","2684","2990","20241123"
"20241120","3호선","남부터미널(예술의전당)","32847","33869","20241123"
"20241120","7호선","남성","12861","12312","20241123"
"20241120","경부선","남영","11038","11669","20241123"
"20241120","8호선","남위례","8724","8500","20241123"
"20241120","경춘선","남춘천","2750","2766","20241123"
"20241120","4호선","남태령","1671","1455","20241123"
"20241120","8호선","남한산성입구(성남법원.검찰청)","15940","14835","20241123"
"20241120","7호선","내방","17006","17153","20241123"
"20241120","9호선","노들","5465","4519","20241123"
"20241120","경부선","노량진","9464","10019","20241123"
"20241120","9호선","노량진","28997","28801","20241123"
"20241120","4호선","노원","23434","26465","20241123"
"20241120","7호선","노원","21703","22758","20241123"
"20241120","3호선","녹번","17199","16141","20241123"
"20241120","6호선","녹사평(용산구청)","5345","5428","20241123"
"20241120","경원선","녹양","4581","4340","20241123"
"20241120","경원선","녹천","4853","4078","20241123"
"20241120","7호선","논현","21188","21701","20241123"
"20241120","경의선","능곡","5089","4767","20241123"
"20241120","8호선","단대오거리","13812","13207","20241123"
"20241120","수인선","달월","110","73","20241123"
"20241120","5호선","답십리","18159","16440","20241123"
"20241120","4호선","당고개","10658","9091","20241123"
"20241120","신림선","당곡","5331","5339","20241123"
"20241120","9호선","당산","21308","21155","20241123"
"20241120","2호선","당산","21186","24570","20241123"
"20241120","경부선","당정","7224","6789","20241123"
"20241120","일산선","대곡","3669","2721","20241123"
"20241120","과천선","대공원","3064","3106","20241123"
"20241120","7호선","대림(구로구청)","9347","9536","20241123"
"20241120","2호선","대림(구로구청)","26617","27219","20241123"
"20241120","분당선","대모산입구","6124","6212","20241123"
"20241120","신림선","대방","3433","2692","20241123"
"20241120","경부선","대방","11884","13393","20241123"
"20241120","경춘선","대성리","494","464","20241123"
"20241120","안산선","대야미","5359","4798","20241123"
"20241120","3호선","대청","12643","11755","20241123"
"20241120","3호선","대치","14231","14155","20241123"
"20241120","일산선","대화","15227","11835","20241123"
"20241120","6호선","대흥(서강대앞)","11534","12095","20241123"
"20241120","경원선","덕계","6758","6206","20241123"
"20241120","중앙선","덕소","5834","5936","20241123"
"20241120","경원선","덕정","7270","7055","20241123"
"20241120","분당선","도곡","8257","8738","20241123"
"20241120","3호선","도곡","7171","7051","20241123"
"20241120","중앙선","도농","11031","9925","20241123"
"20241120","2호선","도림천","1453","1568","20241123"
"20241120","경원선","도봉","6169","5954","20241123"
"20241120","7호선","도봉산","10351","11890","20241123"
"20241120","경원선","도봉산","7886","4887","20241123"
"20241120","중앙선","도심","2843","2208","20241123"
"20241120","경인선","도원","3725","3769","20241123"
"20241120","경인선","도화","4454","4043","20241123"
"20241120","3호선","독립문","8822","9120","20241123"
"20241120","6호선","독바위","3084","3225","20241123"
"20241120","경부선","독산","18895","19594","20241123"
"20241120","6호선","돌곶이","12814","11874","20241123"
"20241120","4호선","동대문","21163","21936","20241123"
"20241120","1호선","동대문","12618","11948","20241123"
"20241120","4호선","동대문역사문화공원(DDP)","20882","18552","20241123"
"20241120","2호선","동대문역사문화공원(DDP)","15865","18149","20241123"
"20241120","5호선","동대문역사문화공원(DDP)","3809","4153","20241123"
"20241120","3호선","동대입구","13864","15779","20241123"
"20241120","경원선","동두천","2395","2350","20241123"
