NO,시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),동,층,매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지,등기일자,시군구_구,주소_합치기,latitude,longitude
1,서울특별시 중랑구 면목동,126-1,126,1,킴스아파트,35.75,201812,31,"29,500",-,7,-,-,2018,면목로 429,-,-,-,-,서울특별시 중랑구 ,서울특별시 중랑구  면목로 429,37.5901934659094,127.086826066156
2,서울특별시 성북구 삼선동2가,420,420,0,삼선현대힐스테이트,84.98,201812,31,"51,900",-,3,-,-,2009,낙산길 243-15,-,-,-,-,서울특별시 성북구 ,서울특별시 성북구  낙산길 243-15,37.5826745602455,127.014413798749
3,서울특별시 중랑구 상봉동,1,1,0,건영1,84.96,201812,31,"37,500",-,2,-,-,1997,봉화산로48길 62,-,-,-,-,서울특별시 중랑구 ,서울특별시 중랑구  봉화산로48길 62,37.6034753401116,127.093654269252
4,서울특별시 중랑구 면목동,126-1,126,1,킴스아파트,38.91,201812,31,"29,300",-,8,-,-,2018,면목로 429,-,-,-,-,서울특별시 중랑구 ,서울특별시 중랑구  면목로 429,37.5901934659094,127.086826066156
5,서울특별시 중랑구 면목동,1502,1502,0,현대,84.09,201812,31,"42,400",-,15,-,-,1994,용마산로 252,-,-,-,-,서울특별시 중랑구 ,서울특별시 중랑구  용마산로 252,37.5751759965089,127.089222458333
6,서울특별시 중구 황학동,2015,2015,0,청계리버팰리스B,26.94,201812,31,"27,300",-,10,-,-,2018,난계로17길 58-8,-,-,-,-,서울특별시 중구 ,서울특별시 중구  난계로17길 58-8,37.5698887859066,127.020691630846
7,서울특별시 중랑구 묵동,245-64,245,64,우성,48.91,201812,31,"19,600",-,4,-,-,1975,동일로149길 15,-,-,-,-,서울특별시 중랑구 ,서울특별시 중랑구  동일로149길 15,37.6063801794323,127.077014738388
8,서울특별시 성북구 돈암동,609-1,609,1,한신,68.13,201812,31,"48,000",-,13,-,-,1998,성북로4길 52,-,-,-,-,서울특별시 성북구 ,서울특별시 성북구  성북로4길 52,37.5944725333435,127.012706037821
9,서울특별시 동대문구 전농동,6,6,0,전농우성,59.78,201812,31,"29,600",-,4,-,-,1992,사가정로 191,-,-,-,-,서울특별시 동대문구 ,서울특별시 동대문구  사가정로 191,37.5790127866687,127.065917418489
10,서울특별시 광진구 자양동,227-7,227,7,더샵스타시티,100.32,201812,31,"118,000",-,36,-,-,2007,아차산로 262,-,-,-,-,서울특별시 광진구 ,서울특별시 광진구  아차산로 262,37.5370016363785,127.072962760454
11,서울특별시 광진구 자양동,579,579,0,우성1,59.91,201812,31,"66,300",-,9,-,-,1988,뚝섬로 569,-,-,-,-,서울특별시 광진구 ,서울특별시 광진구  뚝섬로 569,37.5343511422776,127.073577477923
12,서울특별시 용산구 한남동,550,550,0,현대하이페리온II,227.68,201812,31,"263,000",-,7,-,-,2004,서빙고로 417,-,-,-,-,서울특별시 용산구 ,서울특별시 용산구  서빙고로 417,37.5283743260401,127.005937416925
13,서울특별시 용산구 한남동,810,810,0,한남더힐,233.062,201812,31,"421,000",-,3,-,-,2011,독서당로 111,-,-,-,-,서울특별시 용산구 ,서울특별시 용산구  독서당로 111,37.5361228594578,127.007307641122
14,서울특별시 성북구 정릉동,239,239,0,정릉풍림아이원,60.0,201812,31,"41,000",-,12,-,-,2005,솔샘로25길 11-11,-,-,-,-,서울특별시 성북구 ,서울특별시 성북구  솔샘로25길 11-11,37.6160226380573,127.008106043719
15,서울특별시 성북구 정릉동,435,435,0,중앙하이츠빌2단지,84.95,201812,31,"40,700",-,10,-,-,2005,정릉로26길 8,-,-,-,-,서울특별시 성북구 ,서울특별시 성북구  정릉로26길 8,37.6038670811154,127.010847672186
16,서울특별시 중구 신당동,852,852,0,청구e편한세상,118.47,201812,31,"139,000",-,14,-,-,2011,청구로 64,-,-,-,-,서울특별시 중구 ,서울특별시 중구  청구로 64,37.5599601596254,127.015451019186
17,서울특별시 중랑구 면목동,1511,1511,0,두산3,84.77,201812,31,"53,500",-,16,-,-,1995,면목로37길 57,-,-,-,-,서울특별시 중랑구 ,서울특별시 중랑구  면목로37길 57,37.5800147769383,127.082931350864
18,서울특별시 도봉구 방학동,734,734,0,청구아파트,84.97,201812,31,"37,000",-,7,-,-,1994,시루봉로 71,-,-,-,-,서울특별시 도봉구 ,서울특별시 도봉구  시루봉로 71,37.6571605667278,127.027593335959
19,서울특별시 노원구 월계동,383-40,383,40,성북맨션,65.35,201812,31,"33,800",-,2,-,-,1976,석계로 107,-,-,-,-,서울특별시 노원구 ,서울특별시 노원구  석계로 107,37.6225335741487,127.060418607051
20,서울특별시 노원구 중계동,505,505,0,상아,84.97,201812,31,"52,700",-,13,-,-,1989,섬밭로 265,-,-,-,-,서울특별시 노원구 ,서울특별시 노원구  섬밭로 265,37.6382878280766,127.062716147408
21,서울특별시 노원구 중계동,512,512,0,중계무지개,39.82,201812,31,"28,000",-,4,-,-,1991,동일로208길 20,-,-,-,-,서울특별시 노원구 ,서울특별시 노원구  동일로208길 20,37.643256567583,127.066994809325
22,서울특별시 은평구 불광동,71-16,71,16,북한산대창센시티,59.85,201812,31,"42,000",-,4,-,-,2004,불광로 208,-,-,-,-,서울특별시 은평구 ,서울특별시 은평구  불광로 208,37.6257025429828,126.929389312581
23,서울특별시 노원구 중계동,502-1,502,1,중계그린1단지,49.5,201812,31,"29,800",-,4,-,-,1990,섬밭로 285,-,-,-,-,서울특별시 노원구 ,서울특별시 노원구  섬밭로 285,37.6408810487544,127.062533757048
24,서울특별시 노원구 중계동,366,366,0,청구(366),115.47,201812,31,"89,500",-,15,-,-,1993,중계로 184,-,-,-,-,서울특별시 노원구 ,서울특별시 노원구  중계로 184,37.6511079247726,127.079599122393
25,서울특별시 성북구 장위동,317,317,0,꿈의숲대명루첸아파트,59.988,201812,31,"46,400",-,12,-,-,2008,월계로36길 27,-,-,-,-,서울특별시 성북구 ,서울특별시 성북구  월계로36길 27,37.6214422751024,127.046326750213
26,서울특별시 노원구 상계동,1285,1285,0,동아불암,84.9,201812,31,"42,800",-,21,-,-,1999,덕릉로 780,-,-,-,-,서울특별시 노원구 ,서울특별시 노원구  덕릉로 780,37.6666919810414,127.079126011496
27,서울특별시 성북구 하월곡동,226,226,0,월곡래미안루나밸리,59.98,201812,31,"53,000",-,1,-,-,2007,월곡로14길 26,-,-,-,-,서울특별시 성북구 ,서울특별시 성북구  월곡로14길 26,37.6002340166717,127.042651944006
28,서울특별시 은평구 구산동,382,382,0,갈현현대,59.94,201812,31,"27,500",-,3,-,-,1998,서오릉로21길 36,-,-,-,-,서울특별시 은평구 ,서울특별시 은평구  서오릉로21길 36,37.6127720930199,126.904974725064
29,서울특별시 노원구 상계동,652,652,0,상계주공11(고층),59.39,201812,31,"34,500",-,2,-,-,1988,동일로227길 85,-,-,-,-,서울특별시 노원구 ,서울특별시 노원구  동일로227길 85,37.6665061107332,127.052270278334
30,서울특별시 도봉구 방학동,732,732,0,신동아아파트4,84.9,201812,31,"31,100",-,8,-,-,1995,방학로 200,-,-,-,-,서울특별시 도봉구 ,서울특별시 도봉구  방학로 200,37.662872736761,127.029669276882
31,서울특별시 강북구 미아동,1353,1353,0,에스케이북한산시티,84.92,201812,31,"40,400",-,1,-,-,2004,솔샘로 174,-,-,-,-,서울특별시 강북구 ,서울특별시 강북구  솔샘로 174,37.6176383628418,127.010599691076
32,서울특별시 도봉구 방학동,734,734,0,청구아파트,84.97,201812,31,"33,950",-,14,-,-,1995,해등로 264,-,-,-,-,서울특별시 도봉구 ,서울특별시 도봉구  해등로 264,37.6583037299981,127.027604638646
33,서울특별시 노원구 상계동,666,666,0,상계주공10(저층),54.54,201812,31,"45,900",-,4,-,-,1988,노원로 564,-,-,-,-,서울특별시 노원구 ,서울특별시 노원구  노원로 564,37.6616521070339,127.05612466376
34,서울특별시 도봉구 방학동,720-1,720,1,대상타운현대아파트,133.97,201812,31,"65,000",-,2,-,-,2001,마들로 616,-,-,-,-,서울특별시 도봉구 ,서울특별시 도봉구  마들로 616,37.6651079698533,127.046910486399
35,서울특별시 노원구 공릉동,738,738,0,공릉우성아파트,59.26,201812,31,"29,600",-,15,-,-,1995,동일로198길 24,-,-,-,-,서울특별시 노원구 ,서울특별시 노원구  동일로198길 24,37.6286774433719,127.073087970324
36,서울특별시 노원구 상계동,749-5,749,5,상계주공4(고층),84.38,201812,31,"43,400",-,1,-,-,1988,동일로214길 21,-,-,-,-,서울특별시 노원구 ,서울특별시 노원구  동일로214길 21,37.6504328878085,127.062759447938
37,서울특별시 노원구 공릉동,743,743,0,공릉동한보에센시티아파트,84.93,201812,31,"42,000",-,2,-,-,2000,공릉로46길 19,-,-,-,-,서울특별시 노원구 ,서울특별시 노원구  공릉로46길 19,37.6279055006749,127.080130818232
38,서울특별시 구로구 개봉동,471,471,0,삼호,84.88,201812,31,"38,400",-,12,-,-,1996,남부순환로95길 16,-,-,-,-,서울특별시 구로구 ,서울특별시 구로구  남부순환로95길 16,37.4945679422391,126.857307896676
39,서울특별시 구로구 개봉동,Dec-70,70,12,동도센트리움(70-12),116.276,201812,31,"40,000",-,9,-,-,2002,고척로22길 84,-,-,-,-,서울특별시 구로구 ,서울특별시 구로구  고척로22길 84,37.4981451232999,126.846809356285
40,서울특별시 금천구 시흥동,1002-1,1002,1,럭키남서울아파트,41.22,201812,31,"29,000",-,4,-,-,1982,시흥대로47길 43,-,-,-,-,서울특별시 금천구 ,서울특별시 금천구  시흥대로47길 43,37.4506553147109,126.898955300111
41,서울특별시 금천구 시흥동,1011,1011,0,우방,59.91,201812,31,"34,500",-,8,-,-,2002,금하로 750,-,-,-,-,서울특별시 금천구 ,서울특별시 금천구  금하로 750,37.4490734382987,126.913658594513
42,서울특별시 관악구 봉천동,1698-1,1698,1,보라매삼성,84.84,201812,31,"59,000",-,13,-,-,1996,보라매로 62,-,-,-,-,서울특별시 관악구 ,서울특별시 관악구  보라매로 62,37.4948015028766,126.927602560192
43,서울특별시 관악구 신림동,1735,1735,0,관악산휴먼시아2단지,84.98,201812,31,"45,100",-,13,-,-,2008,난곡로 55,-,-,-,-,서울특별시 관악구 ,서울특별시 관악구  난곡로 55,37.4597417150822,126.920752798392
44,서울특별시 관악구 신림동,1644,1644,0,강남,42.36,201812,31,"38,500",-,3,-,-,1974,조원로 25,-,-,-,-,서울특별시 관악구 ,서울특별시 관악구  조원로 25,37.483708310871,126.905433298638
