동별(1),동별(2),동별(3),2019,2019,2019,2020,2020,2020,2021,2021,2021,2022,2022,2022,2023,2023,2023
동별(1),동별(2),동별(3),인구 (명),면적 (㎢),인구밀도 (명/㎢),인구 (명),면적 (㎢),인구밀도 (명/㎢),인구 (명),면적 (㎢),인구밀도 (명/㎢),인구 (명),면적 (㎢),인구밀도 (명/㎢),인구 (명),면적 (㎢),인구밀도 (명/㎢)
합계,소계,소계,10010983,605.24,16541,9911088,605.23,16376,9736027,605.24,16086,9667669,605.21,15974,9638799,605.2,15927
합계,종로구,소계,161869,23.91,6769,158996,23.91,6649,153789,23.91,6431,152211,23.91,6365,150453,23.91,6292
합계,종로구,사직동,9815,1.23,7980,9806,1.23,7972,9636,1.23,7834,9355,1.23,7606,9273,1.23,7539
합계,종로구,삼청동,2997,1.49,2011,2909,1.49,1952,2739,1.49,1838,2642,1.49,1773,2457,1.49,1649
합계,종로구,부암동,10551,2.27,4648,10333,2.27,4552,9782,2.27,4309,9536,2.27,4201,9389,2.27,4136
합계,종로구,평창동,18816,8.87,2121,18582,8.87,2095,18329,8.87,2066,17858,8.87,2013,17578,8.87,1982
합계,종로구,무악동,8740,0.36,24278,8592,0.36,23867,8297,0.36,23047,8052,0.36,22367,7991,0.36,22197
합계,종로구,교남동,10708,0.35,30594,10634,0.35,30383,10203,0.35,29151,9994,0.35,28554,9889,0.35,28254
합계,종로구,가회동,4488,0.54,8311,4418,0.54,8181,4194,0.54,7767,4065,0.54,7528,3972,0.54,7356
합계,종로구,종로1·2·3·4가동,8446,2.35,3594,8448,2.35,3595,8595,2.35,3657,8700,2.35,3702,8492,2.35,3614
합계,종로구,종로5·6가동,5839,0.6,9732,5656,0.6,9427,5476,0.6,9127,5817,0.6,9695,5899,0.6,9832
합계,종로구,이화동,8470,0.78,10859,8111,0.78,10399,7705,0.78,9878,7631,0.78,9783,7480,0.78,9590
합계,종로구,창신1동,6079,0.31,19610,5964,0.31,19239,5631,0.31,18165,5383,0.31,17365,5331,0.31,17197
합계,종로구,창신2동,9799,0.26,37688,9503,0.26,36550,9051,0.26,34812,8796,0.26,33831,8648,0.26,33262
합계,종로구,창신3동,7271,0.23,31613,7107,0.23,30900,6733,0.23,29274,6606,0.23,28722,6520,0.23,28348
합계,종로구,숭인1동,6532,0.23,28400,6388,0.23,27774,6106,0.23,26548,6057,0.23,26335,6114,0.23,26583
합계,종로구,숭인2동,9902,0.35,28291,10178,0.35,29080,10175,0.35,29071,10509,0.35,30026,10692,0.35,30549
합계,종로구,청운효자동,12981,2.57,5051,12633,2.57,4916,12177,2.57,4738,11818,2.57,4598,11489,2.57,4470
합계,종로구,혜화동,20435,1.12,18246,19734,1.12,17620,18960,1.12,16929,19392,1.12,17314,19239,1.12,17178
합계,중구,소계,136488,9.96,13704,134635,9.96,13517,131787,9.96,13231,130785,9.96,13131,131793,9.96,13232
