날짜,원/미국달러(매매기준율),원/위안(매매기준율),원/일본엔(100엔)
2018-12-31,"1,118.10",162.76,"1,013.18"
2019-01-02,"1,118.10",162.76,"1,019.47"
2019-01-03,"1,119.00",163.02,"1,044.87"
2019-01-04,"1,127.50",163.74,"1,046.36"
2019-01-07,"1,125.20",163.72,"1,038.34"
2019-01-08,"1,118.00",163.21,"1,028.85"
2019-01-09,"1,121.70",163.55,"1,031.31"
2019-01-10,"1,121.60",163.81,"1,036.89"
2019-01-11,"1,118.90",164.6,"1,031.96"
2019-01-14,"1,117.60",165.36,"1,030.28"
2019-01-15,"1,121.40",165.95,"1,036.75"
2019-01-16,"1,120.10",165.83,"1,030.97"
2019-01-17,"1,122.00",165.61,"1,028.65"
2019-01-18,"1,121.40",165.67,"1,027.35"
2019-01-21,"1,121.30",165.29,"1,021.87"
2019-01-22,"1,126.50",165.66,"1,027.36"
2019-01-23,"1,130.20",165.92,"1,033.66"
2019-01-24,"1,128.20",165.85,"1,029.71"
2019-01-25,"1,128.00",166.05,"1,029.81"
2019-01-28,"1,125.10",165.73,"1,026.97"
2019-01-29,"1,116.90",165.63,"1,022.19"
2019-01-30,"1,118.10",165.6,"1,021.80"
2019-01-31,"1,117.20",165.89,"1,024.81"
2019-02-01,"1,111.60",165.55,"1,021.36"
2019-02-07,"1,116.80",165.86,"1,015.97"
2019-02-08,"1,123.40",165.75,"1,023.09"
2019-02-11,"1,124.50",165.5,"1,023.90"
2019-02-12,"1,124.50",165.8,"1,018.25"
2019-02-13,"1,124.60",165.47,"1,018.15"
2019-02-14,"1,121.70",165.73,"1,010.77"
2019-02-15,"1,125.00",166.06,"1,018.05"
2019-02-18,"1,127.70",166.18,"1,020.31"
2019-02-19,"1,124.70",166.17,"1,016.95"
2019-02-20,"1,127.50",166.32,"1,019.72"
2019-02-21,"1,122.60",166.84,"1,012.95"
2019-02-22,"1,124.40",167.65,"1,015.95"
