NO,address,latitude,longitude
2023_00001,서울특별시 중랑구 신내로19길 42,37.61410176,127.0910347
2023_00002,서울특별시 성북구 오패산로 90,37.60994709,127.0369136
2023_00003,서울특별시 노원구 노원로1길 95,37.6202886,127.0821622
2023_00004,서울특별시 서대문구 포방터10길 33,37.60245509,126.9513927
2023_00005,서울특별시 강남구 개포로109길 21,37.49562649,127.077191
2023_00006,서울특별시 관악구 당곡2길 109-11,37.49286645,126.9341313
2023_00007,서울특별시 구로구 경인로 248-13,37.49753777,126.848289
2023_00008,서울특별시 영등포구 신풍로 77,37.50041961,126.9115445
2023_00009,서울특별시 동작구 만양로 6,37.5049819,126.9467885
2023_00010,서울특별시 서초구 잠원로 85,37.51182009,127.0062373
2023_00011,서울특별시 강남구 선릉로69길 19,37.49812635,127.050691
2023_00012,서울특별시 동작구 흑석한강로 27,37.50409942,126.9662844
2023_00013,서울특별시 금천구 독산로85길 36,37.47284027,126.9011615
2023_00014,서울특별시 강남구 삼성로51길 37,37.49343619,127.0576977
2023_00015,서울특별시 서초구 잠원로 117,37.51451892,127.0069957
2023_00016,서울특별시 동작구 사당로23길 112,37.48779573,126.9734721
2023_00017,서울특별시 동작구 동작대로29길 118,37.49104148,126.9771482
2023_00018,서울특별시 동작구 서달로 91,37.50316562,126.958891
2023_00019,서울특별시 송파구 올림픽로 135,37.51673328,127.0898891
2023_00020,서울특별시 송파구 올림픽로 435,37.5213593,127.1049717
2023_00021,서울특별시 동작구 흑석한강로 27,37.50409942,126.9662844
2023_00022,서울특별시 강남구 도산대로96길 39,37.52300426,127.0504632
2023_00023,서울특별시 영등포구 도영로 66,37.51039494,126.9001766
2023_00024,서울특별시 금천구 시흥대로 165,37.44790332,126.9007227
2023_00025,서울특별시 영등포구 여의대방로 25,37.49471168,126.9089784
2023_00026,서울특별시 영등포구 여의대방로 25,37.49471168,126.9089784
2023_00027,서울특별시 강남구 도산대로96길 39,37.52300426,127.0504632
2023_00028,서울특별시 금천구 금하로 750,37.44907344,126.9136586
2023_00029,서울특별시 강남구 강남대로 256,37.48648686,127.0335376
2023_00030,서울특별시 영등포구 당산로 214,37.53293123,126.902834
2023_00031,서울특별시 관악구 성현로 80,37.48984744,126.9529855
2023_00032,서울특별시 구로구 항동로 43,37.47894239,126.8245712
2023_00033,서울특별시 동작구 매봉로 134,37.51014704,126.9514909
2023_00034,서울특별시 서초구 효령로 391,37.48932255,127.024591
2023_00035,서울특별시 금천구 시흥대로 165,37.44790332,126.9007227
2023_00036,서울특별시 금천구 독산로10길 96,37.44963404,126.9105019
2023_00037,서울특별시 금천구 시흥대로 165,37.44790332,126.9007227
2023_00038,서울특별시 영등포구 도신로29길 28,37.51175428,126.9023257
2023_00039,서울특별시 영등포구 도신로29길 28,37.51175428,126.9023257
2023_00040,서울특별시 송파구 올림픽로 99,37.51512525,127.07813
2023_00041,서울특별시 중구 마른내로 72,37.56354625,126.995815
2023_00042,서울특별시 종로구 종로58가길 27,37.57239256,127.0167357
2023_00043,서울특별시 성북구 한천로 713,37.62129906,127.0518475
2023_00044,서울특별시 도봉구 우이천로32길 67,37.65079612,127.0251367
2023_00045,서울특별시 성동구 마장로 271,37.56648427,127.0402766
2023_00046,서울특별시 성동구 마장로 271,37.56648427,127.0402766
2023_00047,서울특별시 동대문구 한천로58길 47,37.60075075,127.0687695
2023_00048,서울특별시 중랑구 사가정로71길 19,37.5808369,127.0950526
2023_00049,서울특별시 성북구 월곡로14길 26,37.60023402,127.0426519
2023_00050,서울특별시 성북구 화랑로 235,37.61054291,127.0553574
2023_00051,서울특별시 성북구 종암로 167,37.60505876,127.0309904
2023_00052,서울특별시 중랑구 신내로7길 20,37.60139119,127.0960991
2023_00053,서울특별시 성북구 길음로 33,37.60508329,127.0220786
2023_00054,서울특별시 동대문구 왕산로 72,37.57772824,127.0313717
2023_00055,서울특별시 성북구 길음로9길 40,37.60584942,127.0209852
2023_00056,서울특별시 동대문구 정릉천동로 36,37.57547229,127.0371123
2023_00057,서울특별시 성북구 성북로4길 52,37.59447253,127.012706
2023_00058,서울특별시 성동구 왕십리로 36,37.54046563,127.0442769
2023_00059,서울특별시 성북구 북악산로 844,37.59738598,127.019323
2023_00060,서울특별시 동대문구 답십리로41길 33,37.57322241,127.0535453
2023_00061,서울특별시 성북구 장월로1길 28,37.60877249,127.045612
2023_00062,서울특별시 도봉구 도당로2길 16,37.6592358,127.0359476
2023_00063,서울특별시 성동구 행당로 82,37.55480888,127.0273997
2023_00064,서울특별시 중구 난계로 169,37.56657481,127.0232614
2023_00065,서울특별시 성동구 무학로 50,37.5691096,127.0326727
2023_00066,서울특별시 도봉구 우이천로 367,37.64788419,127.0240704
2023_00067,서울특별시 성동구 마장로 271,37.56648427,127.0402766
2023_00068,서울특별시 용산구 이촌로88길 30,37.51687955,126.975899
2023_00069,서울특별시 동대문구 답십리로 292-3,37.57174201,127.0730012
2023_00070,서울특별시 동대문구 장안벚꽃로 107,37.57105683,127.0751137
2023_00071,서울특별시 성동구 난계로 84,37.55913142,127.0240799
2023_00072,서울특별시 강동구 고덕로 333,37.55617709,127.1591765
2023_00073,서울특별시 강동구 고덕로 360,37.55668291,127.1695273
2023_00074,서울특별시 강동구 고덕로 360,37.55668291,127.1695273
2023_00075,서울특별시 강동구 구천면로 278,37.54464714,127.1338815
2023_00076,서울특별시 송파구 중대로 24,37.48812575,127.1110591
2023_00077,서울특별시 송파구 문정로 83,37.48920432,127.130232
2023_00078,서울특별시 강동구 고덕로 333,37.55617709,127.1591765
2023_00079,서울특별시 송파구 동남로 193,37.49469823,127.1292231
2023_00080,서울특별시 강동구 고덕로 131,37.55516675,127.1438388
2023_00081,서울특별시 강동구 고덕로 333,37.55617709,127.1591765
2023_00082,서울특별시 강동구 고덕로 333,37.55617709,127.1591765
2023_00083,서울특별시 강동구 고덕로 333,37.55617709,127.1591765
2023_00084,서울특별시 송파구 양재대로 1218,37.51669099,127.1377124
2023_00085,서울특별시 마포구 서강로3길 32,37.55001779,126.9308541
2023_00086,서울특별시 마포구 마포대로 195,37.55243392,126.9542238
