NO,address,latitude,longitude
2019_00092,서울특별시 은평구 연서로19길 9,37.61416795,126.9152038
2019_00180,서울특별시 송파구 성내천로6길 1-13,37.5040148,127.1354224
2019_00752,서울특별시 은평구 연서로17길 12,37.61327501,126.9147403
2019_00950,서울특별시 종로구 평창문화로 171,37.60889496,126.9732678
2019_01093,서울특별시 은평구 서오릉로2길 12-1,37.60235073,126.9274728
2019_01291,서울특별시 성북구 64,37.58935882,127.0167029
2019_01761,서울특별시 강남구 남부순환로 2803,37.49695981,127.0714487
2019_01830,서울특별시 은평구 수색로18길 45-15,37.58561793,126.8941514
2019_01945,서울특별시 은평구 서오릉로2길 12-1,37.60235073,126.9274728
2019_01975,서울특별시 노원구 노원로1길 103,37.62106348,127.0834036
2019_02183,서울특별시 은평구 서오릉로2길 12-1,37.60235073,126.9274728
2019_02627,서울특별시 구로구 남부순환로97길 30,37.49416772,126.8597176
2019_02628,서울특별시 구로구 남부순환로97길 30,37.49416772,126.8597176
2019_03032,서울특별시 마포구 마포대로19길 8,37.55277451,126.9551956
2019_03433,서울특별시 금천구 탑골로3길 50,37.45260313,126.9123911
2019_03529,서울특별시 성북구 64,37.58935882,127.0167029
2019_04123,서울특별시 은평구 연서로19길 9,37.61416795,126.9152038
2019_04362,서울특별시 성북구 37,37.58935882,127.0167029
2019_04582,서울특별시 서초구 잠원로 195,37.51449725,127.0077392
2019_04631,서울특별시 동작구 사당로23길 4,37.488697,126.9722466
2019_04712,서울특별시 서초구 신반포로 32,37.5055868,127.0029556
2019_05092,서울특별시 송파구 성내천로6길 1-13,37.5040148,127.1354224
2019_05333,서울특별시 서초구 신반포로 45,37.5055868,127.0029556
2019_05334,서울특별시 서초구 신반포로 137,37.5055868,127.0029556
2019_05413,서울특별시 서초구 신반포로 45,37.5055868,127.0029556
2019_05414,서울특별시 서초구 신반포로 45,37.5055868,127.0029556
2019_05415,서울특별시 서초구 신반포로 32,37.5055868,127.0029556
2019_05500,서울특별시 은평구 연서로19길 9,37.61416795,126.9152038
2019_05937,서울특별시 송파구 올림픽로 399,37.51490141,127.1050185
2019_05949,서울특별시 동작구 등용로14길 40,37.51212241,126.9338642
2019_06191,서울특별시 서초구 신반포로 32,37.5055868,127.0029556
2019_06819,서울특별시 은평구 서오릉로2길 12-1,37.60235073,126.9274728
2019_06820,서울특별시 은평구 서오릉로2길 12-1,37.60235073,126.9274728
2019_06992,서울특별시 서초구 신반포로 32,37.5055868,127.0029556
2019_07020,서울특별시 송파구 올림픽로 399,37.51490141,127.1050185
2019_07159,서울특별시 송파구 성내천로6길 1-13,37.5040148,127.1354224
2019_07292,서울특별시 노원구 노원로1길 103,37.62106348,127.0834036
2019_07427,서울특별시 금천구 탑골로3길 50,37.45260313,126.9123911
2019_07673,서울특별시 성북구 64,37.58935882,127.0167029
2019_07954,서울특별시 강서구 곰달래로18길 33-1,37.52926839,126.8414192
2019_07991,서울특별시 구로구 남부순환로97길 30,37.49416772,126.8597176
2019_08248,서울특별시 강동구 진황도로 12,37.53405195,127.1403839
2019_08282,서울특별시 성북구 64,37.58935882,127.0167029
2019_08814,서울특별시 강서구 곰달래로18길 33-1,37.52926839,126.8414192
2019_08889,서울특별시 성북구 37,37.58935882,127.0167029
2019_08899,서울특별시 성북구 64,37.58935882,127.0167029
2019_09038,서울특별시 서초구 신반포로 32,37.5055868,127.0029556
2019_09104,서울특별시 서초구 나루터로4길 49,37.51177237,127.0134047
2019_09135,서울특별시 강동구 고덕로25길 13-11,37.55576033,127.1364747
2019_09231,서울특별시 마포구 마포대로19길 8,37.55277451,126.9551956
2019_09661,서울특별시 금천구 탑골로3길 50,37.45260313,126.9123911
2019_09904,서울특별시 강남구 선릉로 7,37.50435038,127.0490615
2019_10363,서울특별시 송파구 성내천로6길 1-13,37.5040148,127.1354224
2019_10437,서울특별시 송파구 성내천로6길 1-13,37.5040148,127.1354224
2019_10765,서울특별시 노원구 노원로1길 103,37.62106348,127.0834036
2019_11126,서울특별시 강남구 남부순환로 2803,37.49695981,127.0714487
2019_11163,서울특별시 서초구 신반포로 137,37.5055868,127.0029556
2019_11201,서울특별시 송파구 성내천로6길 1-13,37.5040148,127.1354224
2019_11202,서울특별시 송파구 성내천로6길 1-13,37.5040148,127.1354224
2019_12647,서울특별시 송파구 성내천로6길 1-13,37.5040148,127.1354224
2019_12648,서울특별시 송파구 성내천로6길 1-13,37.5040148,127.1354224
2019_12880,서울특별시 동작구 사당로23길 4,37.488697,126.9722466
2019_12940,서울특별시 서초구 신반포로 9,37.5055868,127.0029556
2019_13510,서울특별시 서초구 방배중앙로 51,37.48930988,126.9877679
2019_13566,서울특별시 송파구 성내천로6길 1-13,37.5040148,127.1354224
2019_13805,서울특별시 송파구 올림픽로33길 1,37.51963111,127.1079407
2019_14071,서울특별시 송파구 성내천로6길 1-13,37.5040148,127.1354224
2019_14095,서울특별시 성북구 64,37.58935882,127.0167029
2019_14640,서울특별시 강동구 진황도로 18,37.53405195,127.1403839
2019_15363,서울특별시 송파구 올림픽로33길 17,37.51963111,127.1079407
2019_15634,서울특별시 구로구 구로중앙로18길 11-1,37.4956485,126.891438
2019_15752,서울특별시 서초구 신반포로 9,37.5055868,127.0029556
2019_15770,서울특별시 강남구 남부순환로 2803,37.49695981,127.0714487
2019_15923,서울특별시 마포구 마포대로19길 8,37.55277451,126.9551956
2019_15997,서울특별시 강동구 진황도로 12,37.53405195,127.1403839
2019_16246,서울특별시 은평구 수색로20길 26-13,37.58555914,126.8916241
2019_16861,서울특별시 마포구 마포대로19길 8,37.55277451,126.9551956
2019_17144,서울특별시 종로구 평창문화로 171,37.60889496,126.9732678
2019_17729,서울특별시 성북구 64,37.58935882,127.0167029
2019_17730,서울특별시 성북구 64,37.58935882,127.0167029
2019_18463,서울특별시 강동구 진황도로 12,37.53405195,127.1403839
2019_18587,서울특별시 송파구 올림픽로 399,37.51490141,127.1050185
2019_18588,서울특별시 송파구 올림픽로 399,37.51490141,127.1050185
2019_18666,서울특별시 강남구 남부순환로 2803,37.49695981,127.0714487
2019_18794,서울특별시 은평구 수색로20길 26-13,37.58555914,126.8916241
2019_18938,서울특별시 성북구 64,37.58935882,127.0167029
2019_18942,서울특별시 성북구 37,37.58935882,127.0167029
2019_19145,서울특별시 서초구 신반포로 9,37.5055868,127.0029556
2019_19146,서울특별시 서초구 신반포로 45,37.5055868,127.0029556
2019_19250,서울특별시 금천구 탑골로3길 50,37.45260313,126.9123911
2019_19409,서울특별시 송파구 오금로40길 8,37.4975095,127.129682
2019_19437,서울특별시 서초구 신반포로 32,37.5055868,127.0029556
2019_19798,서울특별시 성북구 64,37.58935882,127.0167029
2019_19951,서울특별시 서초구 나루터로4길 28,37.51177237,127.0134047
2019_20108,서울특별시 송파구 성내천로6길 1-13,37.5040148,127.1354224
2019_20346,서울특별시 강동구 진황도로 12,37.53405195,127.1403839
2019_21626,서울특별시 강서구 화곡로21길 71-1,37.5429454,126.8365437
2019_21931,서울특별시 구로구 개봉로3가길 88-41,37.48419376,126.8535589
2019_22011,서울특별시 강동구 진황도로 18,37.53405195,127.1403839
2019_22037,서울특별시 송파구 성내천로6길 1-13,37.5040148,127.1354224
2019_22089,서울특별시 성북구 64,37.58935882,127.0167029
2019_22110,서울특별시 성북구 37,37.58935882,127.0167029
2019_22198,서울특별시 서초구 나루터로4길 39,37.51177237,127.0134047
2019_22249,서울특별시 서초구 신반포로 32,37.5055868,127.0029556
2019_22276,서울특별시 송파구 성내천로6길 1-13,37.5040148,127.1354224
2019_22495,서울특별시 성북구 64,37.58935882,127.0167029
2019_23263,서울특별시 송파구 성내천로6길 1-13,37.5040148,127.1354224
2019_23265,서울특별시 송파구 성내천로6길 1-13,37.5040148,127.1354224
2019_23414,서울특별시 강서구 곰달래로18길 33-1,37.52926839,126.8414192
2019_23523,서울특별시 서초구 효령로34길 79,37.47960368,127.0003533
2019_23830,서울특별시 강동구 진황도로 18,37.53405195,127.1403839
2019_23954,서울특별시 서초구 신반포로 9,37.5055868,127.0029556
2019_24020,서울특별시 송파구 오금로40길 8,37.4975095,127.129682
2019_24021,서울특별시 송파구 오금로40길 8,37.4975095,127.129682
2019_24372,서울특별시 성북구 64,37.58935882,127.0167029
2019_24680,서울특별시 금천구 탑골로3길 50,37.45260313,126.9123911
2019_24692,서울특별시 강서구 곰달래로18길 33-1,37.52926839,126.8414192
2019_24767,서울특별시 동작구 사당로23길 4,37.488697,126.9722466
2019_25071,서울특별시 송파구 성내천로6길 1-13,37.5040148,127.1354224
2019_25078,서울특별시 광진구 뚝섬로 45,37.53297954,127.0764283
2019_25106,서울특별시 성북구 64,37.58935882,127.0167029
2019_25774,서울특별시 동작구 사당로23길 4,37.488697,126.9722466
2019_25832,서울특별시 송파구 올림픽로 399,37.51490141,127.1050185
2019_26239,서울특별시 종로구 세검정로 384-13,37.6010341,126.9596738
2019_26427,서울특별시 송파구 올림픽로 399,37.51490141,127.1050185
2019_26444,서울특별시 서초구 신반포로 137,37.5055868,127.0029556
2019_26486,서울특별시 송파구 성내천로6길 1-13,37.5040148,127.1354224
2019_26644,서울특별시 구로구 개봉로3가길 88-41,37.48419376,126.8535589
2019_26664,서울특별시 강서구 곰달래로18길 33-1,37.52926839,126.8414192
2019_26997,서울특별시 성북구 64,37.58935882,127.0167029
2019_27023,서울특별시 광진구 뚝섬로 45,37.53297954,127.0764283
2019_27353,서울특별시 노원구 노원로1길 103,37.62106348,127.0834036
2019_27511,서울특별시 강서구 곰달래로18길 33-1,37.52926839,126.8414192
2019_27543,서울특별시 강동구 진황도로 18,37.53405195,127.1403839
2019_27548,서울특별시 송파구 성내천로6길 1-13,37.5040148,127.1354224
2019_27618,서울특별시 성북구 64,37.58935882,127.0167029
2019_27743,서울특별시 강남구 남부순환로 2803,37.49695981,127.0714487
2019_27948,서울특별시 광진구 뚝섬로 45,37.53297954,127.0764283
2019_28172,서울특별시 노원구 화랑로43길 34,37.61439278,127.0619935
2019_28859,서울특별시 성북구 64,37.58935882,127.0167029
2019_29070,서울특별시 동대문구 정릉천동로 100,37.57928846,127.0350078
2019_29098,서울특별시 금천구 탑골로3길 50,37.45260313,126.9123911
2019_29372,서울특별시 노원구 노원로1길 103,37.62106348,127.0834036
2019_29748,서울특별시 서초구 잠원로 195,37.51449725,127.0077392
2019_29784,서울특별시 관악구 구암길 95,37.49056902,126.9479684
2019_29804,서울특별시 강남구 남부순환로 2803,37.49695981,127.0714487
2019_29824,서울특별시 서초구 신반포로 32,37.5055868,127.0029556
2019_29978,서울특별시 노원구 노원로1길 103,37.62106348,127.0834036
2019_30096,서울특별시 성북구 64,37.58935882,127.0167029
2019_30200,서울특별시 성북구 37,37.58935882,127.0167029
2019_30234,서울특별시 광진구 뚝섬로 45,37.53297954,127.0764283
2019_30562,서울특별시 구로구 구로중앙로18길 11-1,37.4956485,126.891438
2019_30996,서울특별시 서초구 신반포로 137,37.5055868,127.0029556
2019_31060,서울특별시 강남구 남부순환로 2803,37.49695981,127.0714487
2019_31167,서울특별시 노원구 노원로1길 103,37.62106348,127.0834036
2019_31513,서울특별시 강남구 남부순환로 2803,37.49695981,127.0714487
2019_31729,서울특별시 송파구 성내천로6길 1-13,37.5040148,127.1354224
2019_32018,서울특별시 광진구 뚝섬로 45,37.53297954,127.0764283
2019_32256,서울특별시 서초구 신반포로 32,37.5055868,127.0029556
2019_32298,서울특별시 강동구 진황도로 18,37.53405195,127.1403839
2019_32416,서울특별시 강서구 곰달래로18길 33-1,37.52926839,126.8414192
2019_32547,서울특별시 송파구 올림픽로33길 17,37.51963111,127.1079407
2019_32848,서울특별시 구로구 구로중앙로18길 11-1,37.4956485,126.891438
2019_32980,서울특별시 송파구 올림픽로 399,37.51490141,127.1050185
2019_33244,서울특별시 강남구 남부순환로 2803,37.49695981,127.0714487
2019_33464,서울특별시 노원구 화랑로43길 34,37.61439278,127.0619935
2019_34042,서울특별시 강남구 남부순환로 2803,37.49695981,127.0714487
2019_34241,서울특별시 동작구 장승배기로13길 46,37.50679423,126.9371749
2019_34708,서울특별시 서초구 신반포로19길 10,37.50521251,126.9966594
2019_34721,서울특별시 강남구 선릉로 7,37.50435038,127.0490615
2019_35012,서울특별시 성북구 64,37.58935882,127.0167029
2019_35060,서울특별시 종로구 세검정로 384-13,37.6010341,126.9596738
2019_35062,서울특별시 서초구 신반포로 32,37.5055868,127.0029556
2019_35097,서울특별시 송파구 오금로40길 8,37.4975095,127.129682
2019_35145,서울특별시 송파구 송이로31길 20-10,37.4906193,127.1343746
2019_35170,서울특별시 송파구 올림픽로 399,37.51490141,127.1050185
2019_35294,서울특별시 노원구 노원로1길 103,37.62106348,127.0834036
2019_35319,서울특별시 노원구 노원로1길 103,37.62106348,127.0834036
2019_35330,서울특별시 마포구 마포대로19길 8,37.55277451,126.9551956
2019_35578,서울특별시 서초구 나루터로4길 28,37.51177237,127.0134047
2019_35776,서울특별시 서초구 신반포로 45,37.5055868,127.0029556
2019_35967,서울특별시 노원구 노원로1길 103,37.62106348,127.0834036
2019_36247,서울특별시 금천구 탑골로3길 50,37.45260313,126.9123911
2019_36322,서울특별시 강남구 선릉로 7,37.50435038,127.0490615
2019_36534,서울특별시 금천구 탑골로3길 50,37.45260313,126.9123911
2019_36663,서울특별시 강남구 선릉로 7,37.50435038,127.0490615
2019_36698,서울특별시 서초구 신반포로19길 10,37.50521251,126.9966594
2019_37060,서울특별시 강남구 선릉로 7,37.50435038,127.0490615
2019_37061,서울특별시 서초구 나루터로4길 39,37.51177237,127.0134047
2019_37239,서울특별시 서초구 효령로34길 79,37.47960368,127.0003533
2019_37243,서울특별시 강남구 남부순환로 2803,37.49695981,127.0714487
2019_37250,서울특별시 송파구 올림픽로 399,37.51490141,127.1050185
2019_37466,서울특별시 송파구 올림픽로 399,37.51490141,127.1050185
2019_37491,서울특별시 서초구 나루터로4길 28,37.51177237,127.0134047
2019_37508,서울특별시 강남구 선릉로 7,37.50435038,127.0490615
2019_37623,서울특별시 강동구 진황도로 12,37.53405195,127.1403839
2019_37938,서울특별시 노원구 노원로1길 103,37.62106348,127.0834036
2019_38057,서울특별시 서초구 신반포로 45,37.5055868,127.0029556
2019_38072,서울특별시 강남구 남부순환로 2803,37.49695981,127.0714487
2019_38080,서울특별시 동작구 사당로23길 4,37.488697,126.9722466
