no,address,latitude,longitude
2020_54651,서울특별시 금천구 독산로10길 96,37.44963404,126.9105019
2020_54652,서울특별시 영등포구 영신로 193,37.52519492,126.9016951
2020_54653,서울특별시 구로구 경인로 643,37.50884988,126.8855536
2020_54654,서울특별시 금천구 가산로 99,37.47615677,126.8912894
2020_54655,서울특별시 영등포구 국회대로29길 5,37.52926534,126.8959717
2020_54656,서울특별시 서초구 바우뫼로7길 29,37.47070547,127.0231377
2020_54657,서울특별시 관악구 장군봉1길 8,37.4818141,126.9401409
2020_54658,서울특별시 관악구 행운10길 21,37.48225902,126.9621511
2020_54659,서울특별시 관악구 봉천로 387,37.48376028,126.9427012
2020_54660,서울특별시 관악구 관악로30길 12,37.48413576,126.9606073
2020_54661,서울특별시 관악구 인헌12길 46-1,37.47066683,126.9645637
2020_54662,서울특별시 관악구 남부순환로248길 56,37.47365592,126.9657211
2020_54663,서울특별시 구로구 개봉로20길 158,37.49204228,126.8607374
2020_54664,서울특별시 구로구 개봉로3길 87,37.48589874,126.850971
2020_54665,서울특별시 구로구 남부순환로95길 54,37.49503483,126.8547106
2020_54666,서울특별시 구로구 남부순환로95길 54,37.49503483,126.8547106
2020_54667,서울특별시 구로구 남부순환로95길 88,37.49532522,126.8517306
2020_54668,서울특별시 구로구 고척로 82,37.49980442,126.8431058
2020_54669,서울특별시 구로구 남부순환로 775,37.50156787,126.8471623
2020_54670,서울특별시 구로구 남부순환로 775,37.50156787,126.8471623
2020_54671,서울특별시 관악구 남부순환로233길 19-12,37.480474,126.9580564
2020_54672,서울특별시 동작구 만양로 36,37.50766447,126.9482347
2020_54673,서울특별시 영등포구 양평로17길 36,37.53440211,126.8944285
2020_54674,서울특별시 동작구 여의대방로44길 47,37.50992351,126.9304186
2020_54675,서울특별시 영등포구 영등포로62길 42,37.51656799,126.913539
2020_54676,서울특별시 동작구 상도로 407,37.49391739,126.9577733
2020_54677,서울특별시 동작구 양녕로23길 9,37.49532415,126.9417295
2020_54678,서울특별시 동작구 국사봉길 175,37.4934715,126.9353211
2020_54679,서울특별시 동작구 상도로30길 39,37.50479562,126.9422973
2020_54680,서울특별시 동작구 상도로 346-1,37.49678998,126.9516675
2020_54681,서울특별시 영등포구 63로 45,37.52135273,126.9373261
2020_54682,서울특별시 영등포구 63로 45,37.52135273,126.9373261
2020_54683,서울특별시 영등포구 63로 45,37.52135273,126.9373261
2020_54684,서울특별시 영등포구 국제금융로 86,37.52020612,126.9318
2020_54685,서울특별시 관악구 난곡로 55,37.45974172,126.9207528
2020_54686,서울특별시 관악구 난곡로 55,37.45974172,126.9207528
2020_54687,서울특별시 관악구 신림로 318,37.48257543,126.9302529
2020_54688,서울특별시 영등포구 영등포로12길 8,37.52235537,126.887037
2020_54689,서울특별시 구로구 중앙로12길 17-8,37.50645826,126.8623401
2020_54690,서울특별시 구로구 중앙로1길 18-18,37.49923094,126.8635807
2020_54691,서울특별시 구로구 중앙로6길 5-15,37.50141071,126.8644137
2020_54692,서울특별시 금천구 벚꽃로 73,37.46291004,126.8904233
2020_54693,서울특별시 영등포구 버드나루로 85,37.52574731,126.9088578
2020_54694,서울특별시 동작구 동작대로29길 110,37.48982442,126.9777452
2020_54695,서울특별시 동작구 현충로 119,37.50827135,126.9672582
2020_54696,서울특별시 동작구 현충로 151,37.50677865,126.9689342
2020_54697,서울특별시 동작구 흑석한강로 27,37.50409942,126.9662844
2020_54698,서울특별시 구로구 구로동로15길 1-6,37.48752992,126.8845347
2020_54699,서울특별시 구로구 구일로4길 22,37.49116709,126.8756454
2020_54700,서울특별시 구로구 구일로8길 121,37.49855338,126.8764303
2020_54701,서울특별시 구로구 공원로6가길 67,37.50426971,126.8889459
2020_54702,서울특별시 구로구 새말로 93,37.50623441,126.8891034
2020_54703,서울특별시 구로구 새말로 93,37.50623441,126.8891034
2020_54704,서울특별시 구로구 도림로 59,37.4898994,126.8889619
2020_54705,서울특별시 영등포구 영등포로64길 11,37.51419246,126.9172645
2020_54706,서울특별시 영등포구 여의대방로43나길 25,37.50662535,126.920787
2020_54707,서울특별시 구로구 고척로 41,37.4985263,126.8389919
2020_54708,서울특별시 구로구 천왕로 91,37.48668938,126.8374452
2020_54709,서울특별시 구로구 경인로8길 64,37.4921685,126.8402916
2020_54710,서울특별시 구로구 경인로8길 64,37.4921685,126.8402916
2020_54711,서울특별시 영등포구 영등포로20길 20,37.52020684,126.8920472
2020_54712,서울특별시 용산구 한강대로43길 8,37.53258233,126.969753
2020_54713,서울특별시 용산구 한강대로 26,37.52314699,126.9629433
2020_54714,서울특별시 동대문구 한천로 248,37.58323604,127.071898
2020_54715,서울특별시 동대문구 한천로 248,37.58323604,127.071898
2020_54716,서울특별시 용산구 이촌로34길 29,37.52363771,126.9566654
2020_54717,서울특별시 용산구 이촌로 201,37.52134838,126.9701562
2020_54718,서울특별시 용산구 이촌로87길 13,37.51899266,126.9776769
2020_54719,서울특별시 용산구 서빙고로 31,37.52620001,126.9697907
2020_54720,서울특별시 성북구 길음로 118,37.61132476,127.0208497
2020_54721,서울특별시 성북구 길음로 118,37.61132476,127.0208497
2020_54722,서울특별시 동대문구 사가정로 148,37.57665904,127.0615677
2020_54723,서울특별시 성동구 뚝섬로 310,37.54078239,127.0457695
2020_54724,서울특별시 중랑구 신내로 127,37.61086744,127.0956519
2020_54725,서울특별시 중랑구 신내로 127,37.61086744,127.0956519
2020_54726,서울특별시 중랑구 용마산로125길 92,37.60356902,127.1012078
2020_54727,서울특별시 중랑구 송림길 18,37.60047168,127.0960431
2020_54728,서울특별시 성북구 성북로31길 40-12,37.59519033,126.9888242
2020_54729,서울특별시 성동구 동호로 100,37.55132847,127.0164165
2020_54730,서울특별시 성북구 북악산로 844,37.59738598,127.019323
2020_54731,서울특별시 성북구 종암로21길 127,37.60281032,127.029324
2020_54732,서울특별시 중랑구 숙선옹주로 91,37.61726537,127.0855444
2020_54733,서울특별시 성북구 정릉로 402-16,37.60385948,127.0276308
2020_54734,서울특별시 중구 다산로36길 110,37.55986467,127.0190343
2020_54735,서울특별시 중구 청구로1길 23,37.55853588,127.0184475
2020_54736,서울특별시 중구 청구로1길 23,37.55853588,127.0184475
2020_54737,서울특별시 성동구 금호로 100,37.55453147,127.0261866
2020_54738,서울특별시 성동구 무학로 50,37.5691096,127.0326727
2020_54739,서울특별시 중랑구 동일로 752,37.59700909,127.0820707
2020_54740,서울특별시 성북구 아리랑로5길 85,37.5979008,127.0099657
2020_54741,서울특별시 중랑구 공릉로2나길 46,37.61398105,127.0801992
2020_54742,서울특별시 종로구 동망산길 19,37.58003134,127.0141949
2020_54743,서울특별시 중랑구 숙선옹주로 91,37.61726537,127.0855444
2020_54744,서울특별시 동대문구 서울시립대로 14,37.57207425,127.0472735
2020_54745,서울특별시 용산구 장문로 27,37.52910718,126.9936729
2020_54746,서울특별시 성북구 지봉로21길 19,37.58566908,127.015959
2020_54747,서울특별시 동대문구 답십리로56길 21,37.57006932,127.0598603
2020_54748,서울특별시 성동구 동호로 100,37.55132847,127.0164165
2020_54749,서울특별시 성북구 오패산로3길 17,37.60459386,127.0345453
2020_54750,서울특별시 중랑구 양원역로 18,37.60277431,127.108648
2020_54751,서울특별시 중랑구 신내로7길 20,37.60139119,127.0960991
2020_54752,서울특별시 동대문구 사가정로 148,37.57665904,127.0615677
2020_54753,서울특별시 동대문구 망우로 105,37.5918544,127.0653753
2020_54754,서울특별시 동대문구 한천로 248,37.58323604,127.071898
2020_54755,서울특별시 중랑구 동일로149길 15,37.60638018,127.0770147
2020_54756,서울특별시 성북구 정릉로 388,37.60246934,127.0256218
2020_54757,서울특별시 성북구 솔샘로 120,37.61662482,127.0097831
2020_54758,서울특별시 동대문구 장안벚꽃로 107,37.57105683,127.0751137
2020_54759,서울특별시 동대문구 장안벚꽃로 107,37.57105683,127.0751137
2020_54760,서울특별시 동대문구 장한로26다길 13,37.57087297,127.0734778
2020_54761,서울특별시 성북구 솔샘로25길 28,37.61857737,127.0069619
2020_54762,서울특별시 성북구 보국문로 116,37.61514195,127.0077019
2020_54763,서울특별시 종로구 경교장길 35,37.56885372,126.9651149
2020_54764,서울특별시 서초구 잠원로4길 34-11,,
2020_54765,서울특별시 강남구 압구정로 309,37.53192115,127.0355385
2020_54766,서울특별시 강남구 삼성로 150,37.49569534,127.0685647
2020_54767,서울특별시 서초구 신반포로23길 41,37.51165835,127.0044694
