no,address,latitude,longitude
2023_21590,서울특별시 중랑구 신내로 155,37.61385898,127.0943227
2023_21591,서울특별시 용산구 이촌로87길 21,37.52030091,126.9786385
2023_21592,서울특별시 동대문구 회기로 14,37.59100885,127.0379097
2023_21593,서울특별시 도봉구 시루봉로 71,37.65716057,127.0275933
2023_21594,서울특별시 도봉구 덕릉로66길 17,37.64371212,127.0539524
2023_21595,서울특별시 광진구 아차산로 345,37.53750524,127.081583
2023_21596,서울특별시 성북구 북악산로 913,37.59655948,127.0229547
2023_21597,서울특별시 중랑구 동일로109가길 5,37.59224009,127.0787069
2023_21598,서울특별시 도봉구 도당로 116,37.6666198,127.039854
2023_21599,서울특별시 도봉구 마들로 616,37.66510797,127.0469105
2023_21600,서울특별시 동대문구 천호대로47길 62,37.57460986,127.044158
2023_21601,서울특별시 중랑구 신내로7가길 31,37.60207313,127.0934243
2023_21602,서울특별시 성북구 정릉로 402-16,37.60385948,127.0276308
2023_21603,서울특별시 구로구 가마산로 97,37.48631501,126.8773887
2023_21604,서울특별시 마포구 독막로28길 10,37.54695507,126.9362273
2023_21605,서울특별시 강서구 양천로69길 58,37.55527197,126.8729604
2023_21606,서울특별시 은평구 통일로 630,37.60284497,126.9359558
2023_21607,서울특별시 강서구 우현로 67,37.54754619,126.8372075
2023_21608,서울특별시 강서구 화곡로 186-28,37.54140153,126.842099
2023_21609,서울특별시 서대문구 통일로 510,37.59457019,126.9411674
2023_21610,서울특별시 구로구 가마산로 285,37.49710512,126.8916862
2023_21611,서울특별시 강서구 수명로1길 16,37.55204782,126.8225609
2023_21612,서울특별시 강서구 강서로47다길 10-3,37.55208767,126.8339757
2023_21613,서울특별시 서대문구 독립문공원길 17,37.57238119,126.9551984
2023_21614,서울특별시 노원구 동일로214길 21,37.65043289,127.0627594
2023_21615,서울특별시 구로구 신도림로 16,37.50512282,126.882191
2023_21616,서울특별시 구로구 신도림로 16,37.50512282,126.882191
2023_21617,서울특별시 양천구 목동동로 258,37.52534139,126.8751427
2023_21618,서울특별시 구로구 디지털로31길 120,37.48847002,126.890773
2023_21619,서울특별시 양천구 목동동로 50,37.51209479,126.8602911
2023_21620,서울특별시 마포구 마포대로 195,37.55243392,126.9542238
2023_21621,서울특별시 마포구 마포대로 195,37.55243392,126.9542238
2023_21622,서울특별시 양천구 목동중앙남로3가길 59,37.5386357,126.8639322
2023_21623,서울특별시 은평구 백련산로 36,37.58845665,126.9247675
2023_21624,서울특별시 은평구 백련산로 37,37.58941333,126.9222745
2023_21625,서울특별시 은평구 은평로 220,37.60053438,126.9320989
2023_21626,서울특별시 마포구 마포대로 167,37.55021872,126.9537358
2023_21627,서울특별시 서대문구 가재울로 45,37.57566143,126.9208517
2023_21628,서울특별시 서대문구 수색로6길 43,37.57256563,126.9124567
2023_21629,서울특별시 서대문구 북아현로1가길 20,37.55806808,126.9513991
2023_21630,서울특별시 마포구 독막로28길 10,37.54695507,126.9362273
2023_21631,서울특별시 송파구 송파대로 345,37.49761457,127.1025318
2023_21632,서울특별시 송파구 문정로 83,37.48920432,127.130232
2023_21633,서울특별시 송파구 중대로 24,37.48812575,127.1110591
2023_21634,서울특별시 강동구 명일로 172,37.53413819,127.1450708
2023_21635,서울특별시 송파구 위례성대로 58,37.51476071,127.1191203
2023_21636,서울특별시 강동구 고덕로 360,37.55668291,127.1695273
2023_21637,서울특별시 강동구 고덕로 360,37.55668291,127.1695273
2023_21638,서울특별시 강동구 고덕로 333,37.55617709,127.1591765
2023_21639,서울특별시 강동구 천호대로 1077,37.53725665,127.1314376
2023_21640,서울특별시 강동구 상암로51길 61,37.5486615,127.1461524
2023_21641,서울특별시 강동구 양재대로 1650,37.55437885,127.1459442
2023_21642,서울특별시 강동구 양재대로 1650,37.55437885,127.1459442
2023_21643,서울특별시 송파구 오금로 405,37.49826218,127.1351623
2023_21644,서울특별시 송파구 오금로56길 16,37.49290941,127.1419818
2023_21645,서울특별시 송파구 양산로8길 8,37.49091614,127.144567
2023_21646,서울특별시 송파구 양산로8길 8,37.49091614,127.144567
2023_21647,서울특별시 강동구 고덕로 130,37.55420667,127.1409011
2023_21648,서울특별시 송파구 오금로32길 42,37.50336425,127.1177008
2023_21649,서울특별시 송파구 동남로 234,37.49735909,127.1333523
2023_21650,서울특별시 영등포구 당산로 214,37.53293123,126.902834
2023_21651,서울특별시 서초구 사임당로 137,37.4916905,127.0245324
2023_21652,서울특별시 서초구 서운로 197,37.49948267,127.0208201
2023_21653,서울특별시 영등포구 국회대로54길 10,37.52365869,126.9064302
2023_21654,서울특별시 영등포구 양산로 177,37.52446352,126.9031483
2023_21655,서울특별시 영등포구 도신로29길 28,37.51175428,126.9023257
2023_21656,서울특별시 강남구 광평로19길 15,37.48553054,127.0847979
2023_21657,서울특별시 강남구 일원로14길 25,37.48476112,127.0808748
2023_21658,서울특별시 관악구 관악로30길 12,37.48413576,126.9606073
2023_21659,서울특별시 관악구 관악로30길 27,37.48896635,126.9606433
2023_21660,서울특별시 서초구 잠원로 88,37.51224894,127.0082261
2023_21661,서울특별시 서초구 사평대로 73,37.49871137,126.9923739
2023_21662,서울특별시 영등포구 선유동2로 29,37.53243219,126.8958797
2023_21663,서울특별시 동작구 상도로55길 47,37.49834009,126.9588505
2023_21664,서울특별시 강남구 광평로19길 10,37.48548535,127.0866017
2023_21665,서울특별시 동작구 현충로 52,37.5096318,126.9622042
2023_21666,서울특별시 서초구 방배선행길 1,37.4741084,126.9825981
2023_21667,서울특별시 서초구 서초대로1길 30,37.48923288,126.9836143
2023_21668,서울특별시 영등포구 도림천로19길 12,37.48689875,126.9005633
2023_21669,서울특별시 강남구 삼성로 150,37.49569534,127.0685647
2023_21670,서울특별시 강남구 도곡로93길 12,37.50151236,127.0654747
2023_21671,서울특별시 영등포구 선유서로9길 5,37.51788813,126.8832611
2023_21672,서울특별시 구로구 고척로 85,37.50107408,126.8438229
2023_21673,서울특별시 동작구 동작대로39길 22,37.49463598,126.981966
2023_21674,서울특별시 영등포구 문래로20길 14,37.51713359,126.893319
2023_21675,서울특별시 영등포구 영등포로 351,37.51531105,126.9180311
2023_21676,서울특별시 강남구 압구정로 201,37.53153417,127.0292731
2023_21677,서울특별시 영등포구 여의대방로61길 19,37.51430122,126.9238469
2023_21678,서울특별시 강남구 선릉로126길 22,37.51625005,127.0451936
2023_21679,서울특별시 강남구 봉은사로73길 23,37.5139475,127.0499735
2023_21680,서울특별시 구로구 경인로8길 75,37.4928695,126.8395728
2023_21681,서울특별시 영등포구 당산로41길 23,37.5314949,126.8966246
2023_21682,서울특별시 구로구 천왕로 10,37.48072633,126.8421621
2023_21683,서울특별시 송파구 올림픽로 99,37.51512525,127.07813
2023_21684,서울특별시 송파구 올림픽로 135,37.51673328,127.0898891
2023_21685,서울특별시 강남구 학동로87길 7,37.51952825,127.0520028
2023_21686,서울특별시 관악구 난곡로 55,37.45974172,126.9207528
2023_21687,서울특별시 서초구 신반포로33길 15,37.50904433,127.0095245
2023_21688,서울특별시 서초구 잠원로 157,37.51779029,127.0105556
2023_21689,서울특별시 서초구 잠원로 157,37.51779029,127.0105556
2023_21690,서울특별시 영등포구 영등포로 17,37.52372108,126.8834845
2023_21691,서울특별시 서초구 신반포로 270,37.50786022,127.011582
2023_21692,서울특별시 관악구 신림로66길 42,37.48557684,126.9320471
2023_21693,서울특별시 금천구 가산로 99,37.47615677,126.8912894
2023_21694,서울특별시 관악구 행운1나길 12,37.4822587,126.955324
2023_21695,서울특별시 송파구 올림픽로 135,37.51673328,127.0898891
2023_21696,서울특별시 강남구 일원로14길 25,37.48476112,127.0808748
2023_21697,서울특별시 관악구 청룡16길 43,37.47663345,126.9431957
2023_21698,서울특별시 관악구 봉천로 387,37.48376028,126.9427012
2023_21699,서울특별시 송파구 올림픽로43길 34,37.5249191,127.1144437
2023_21700,서울특별시 영등포구 양평로24길 9,37.54028033,126.8917458
2023_21701,서울특별시 영등포구 도영로 66,37.51039494,126.9001766
2023_21702,서울특별시 영등포구 의사당대로 127,37.52024054,126.9264067
2023_21703,서울특별시 서초구 청계산로9길 1-12,37.44968266,127.0562414
2023_21704,서울특별시 서초구 청계산로9길 1-12,37.44968266,127.0562414
2023_21705,서울특별시 동작구 동작대로29길 115,37.49041718,126.9758253
