동별(1),동별(2),동별(3),2019,2020,2021,2022,2023
동별(1),동별(2),동별(3),인구밀도 (명/㎢),인구밀도 (명/㎢),인구밀도 (명/㎢),인구밀도 (명/㎢),인구밀도 (명/㎢)
합계,소계,소계,16541,16376,16086,15974,15927
합계,종로구,소계,6769,6649,6431,6365,6292
합계,종로구,사직동,7980,7972,7834,7606,7539
합계,종로구,삼청동,2011,1952,1838,1773,1649
합계,종로구,부암동,4648,4552,4309,4201,4136
합계,종로구,평창동,2121,2095,2066,2013,1982
합계,종로구,무악동,24278,23867,23047,22367,22197
합계,종로구,교남동,30594,30383,29151,28554,28254
합계,종로구,가회동,8311,8181,7767,7528,7356
합계,종로구,종로1·2·3·4가동,3594,3595,3657,3702,3614
합계,종로구,종로5·6가동,9732,9427,9127,9695,9832
합계,종로구,이화동,10859,10399,9878,9783,9590
합계,종로구,창신1동,19610,19239,18165,17365,17197
합계,종로구,창신2동,37688,36550,34812,33831,33262
합계,종로구,창신3동,31613,30900,29274,28722,28348
합계,종로구,숭인1동,28400,27774,26548,26335,26583
합계,종로구,숭인2동,28291,29080,29071,30026,30549
합계,종로구,청운효자동,5051,4916,4738,4598,4470
합계,종로구,혜화동,18246,17620,16929,17314,17178
합계,중구,소계,13704,13517,13231,13131,13232
합계,중구,소공동,3220,3169,3544,3766,3580
합계,중구,회현동,6964,6854,6467,6217,6015
합계,중구,명동,3603,3722,3780,3675,3439
합계,중구,필동,4404,4170,4104,4225,4361
합계,중구,장충동,4138,4021,3898,3916,4016
합계,중구,광희동,8492,8670,8568,9030,9727
합계,중구,을지로동,3345,3278,3190,3187,5538
합계,중구,신당5동,28023,27864,27456,26956,26964
합계,중구,황학동,41482,41003,40739,40785,41248
합계,중구,중림동,26963,26669,25731,25704,26029
합계,중구,신당동,16789,16711,16536,16522,16155
합계,중구,다산동,29480,28873,27988,27361,27031
합계,중구,약수동,36946,36154,35185,34604,34046
합계,중구,청구동,42691,42003,40641,39562,38897
합계,중구,동화동,42288,41642,40127,39227,38923
합계,용산구,소계,11213,11188,10852,10668,10386
합계,용산구,후암동,21448,21165,20126,19549,19142
합계,용산구,용산2가동,6039,5751,5497,5272,5240
합계,용산구,남영동,7069,6820,6576,6346,6174
합계,용산구,원효로2동,20730,20185,19542,19430,19385
합계,용산구,효창동,23409,23468,23082,24745,24570
합계,용산구,용문동,44954,44482,42804,41657,41136
합계,용산구,이촌1동,10229,10126,9312,8988,8921
합계,용산구,이촌2동,7381,7220,6864,6634,6502
합계,용산구,이태원1동,16179,15375,14256,13942,13682
합계,용산구,이태원2동,12571,12552,12330,12124,11887
합계,용산구,서빙고동,5036,5000,4969,4806,4693
합계,용산구,보광동,22341,21875,20715,19803,17493
합계,용산구,청파동,22704,22523,22307,22037,21556
