school_id,school_name,address,latitude,longitude
BE_LiST23-0003,감리교신학대학교,서울 서대문구 냉천동 감리교신학대학,,
BE_LiST23-0006,경희대학교,서울 동대문구 회기동 경희대학교,,
BE_LiST23-0007,고려대학교,서울 성북구 안암동 고려대학교,,
BE_LiST23-0009,국민대학교,서울 성북구 정릉3동 국민대학교,,
BE_LiST23-0011,그리스도대학교,서울 강서구 화곡6동 그리스도대학교,,
BE_LiST23-0013,동국대학교,서울 중구 필동3가 동국대학교,,
BE_LiST23-0014,동덕여자대학교,서울 성북구 하월곡2동 동덕여자대학교,,
BE_LiST23-0021,사이버한국외국어대학교,서울 동대문구 이문동 한국외국어대학교,,
BE_LiST23-0024,상명대학교,서울 종로구 홍지동 상명대학교,,
BE_LiST23-0025,서강대학교,서울 마포구 신수동 서강대학교,,
BE_LiST23-0026,서경대학교,서울 성북구 정릉4동 서경대학교,,
BE_LiST23-0037,서일대학교,서울 중랑구 서일대학길 22(면목동 49-3) 서일대학교,,
BE_LiST23-0038,성공회대학교,서울 구로구 항동 성공회대학교,,
BE_LiST23-0041,세종대학교,서울 광진구 군자동 세종대학교,,
BE_LiST23-0045,연세대학교,서울 서대문구 신촌동 연세대학교,,
BE_LiST23-0053,한국방송통신대학교,서울 종로구 동숭동 한국방송통신대학교,,
BE_LiST23-0057,한국체육대학교,서울 송파구 오륜동 한국체육대학교,,
BE_LiST23-0060,한성대학교,서울 성북구 삼선동3가 389 한성대학교,,
BE_LiST23-0062,한양여자대학교,서울 성동구 행당동 살곶이길 200,,
