name,line,latitude,longitude
미사,5호선,37.560927,127.193877
신설동,우이신설선,37.576095,127.023242
보문,우이신설선,37.585286,127.019381
성신여대입구(돈암),우이신설선,37.592467,127.016516
정릉,우이신설선,37.603133,127.013396
북한산보국문,우이신설선,37.612072,127.008251
솔샘,우이신설선,37.620238,127.013626
삼양사거리,우이신설선,37.621337,127.020473
삼양,우이신설선,37.626914,127.018106
화계,우이신설선,37.634133,127.017511
가오리,우이신설선,37.641537,127.016789
4.19민주묘지,우이신설선,37.649502,127.013684
솔밭공원,우이신설선,37.65603,127.013273
북한산우이,우이신설선,37.662909,127.012706
신논현,9호선,37.504598,127.02506
사평,9호선,37.504206,127.015259
고속터미널,9호선,37.50598,127.004403
신반포,9호선,37.503415,126.995925
구반포,9호선,37.501364,126.987332
동작(현충원),9호선,37.502878,126.978153
흑석(중앙대입구),9호선,37.50877,126.963708
노들,9호선,37.512887,126.953222
노량진,9호선,37.513534,126.941005
샛강,9호선,37.517274,126.928422
여의도,9호선,37.52176,126.92403
국회의사당,9호선,37.528105,126.917874
당산,9호선,37.533406,126.902809
선유도,9호선,37.53802,126.893525
신목동,9호선,37.544277,126.88308
염창,9호선,37.546936,126.874916
등촌,9호선,37.550632,126.865689
증미,9호선,37.557402,126.861939
가양,9호선,37.561391,126.854456
양천향교,9호선,37.568381,126.841333
마곡나루,9호선,37.566778,126.82731
신방화,9호선,37.567532,126.816601
공항시장,9호선,37.563726,126.810678
김포공항,9호선,37.561916,126.802152
개화,9호선,37.578608,126.798153
모란,8호선,37.433824,127.129837
수진,8호선,37.437428,127.140722
신흥,8호선,37.440918,127.147564
단대오거리,8호선,37.44521,127.156866
남한산성입구(성남법원.검찰청),8호선,37.451535,127.159816
산성,8호선,37.457122,127.149908
복정,8호선,37.471052,127.126732
장지,8호선,37.478703,127.126191
문정,8호선,37.485855,127.1225
가락시장,8호선,37.492888,127.118398
송파,8호선,37.499703,127.112183
석촌,8호선,37.505557,127.106832
잠실(송파구청),8호선,37.514692,127.104338
몽촌토성(평화의문),8호선,37.517409,127.112359
강동구청,8호선,37.530341,127.120508
천호(풍납토성),8호선,37.538113,127.123254
암사,8호선,37.55021,127.127562
부평구청,7호선,37.507394,126.721599
굴포천,7호선,37.506997,126.73128
삼산체육관,7호선,37.506411,126.742153
상동,7호선,37.505781,126.753083
부천시청,7호선,37.504631,126.763538
신중동,7호선,37.503048,126.77596
춘의,7호선,37.503663,126.787036
부천종합운동장,7호선,37.50538,126.797337
까치울,7호선,37.506207,126.810939
온수(성공회대입구),7호선,37.492092,126.823023
천왕,7호선,37.486637,126.838713
광명사거리,7호선,37.479252,126.854876
철산,7호선,37.47605,126.867911
