NO,address,latitude,longitude
2021_00019,서울특별시 강서구 화곡로21길 71-1,,
2021_00052,서울특별시 용산구 한강대로62길 45-1,,
2021_00223,서울특별시 서초구 신반포로 32,,
2021_00256,서울특별시 강서구 화곡로21길 71-1,,
2021_00404,서울특별시 은평구 서오릉로 80-1,,
2021_00668,서울특별시 용산구 유엔빌리지길 80-1,,
2021_01091,서울특별시 금천구 시흥대로 291-1,,
2021_01351,서울특별시 용산구 유엔빌리지길 80-1,,
2021_01427,서울특별시 서초구 잠원로 195,,
2021_01442,서울특별시 용산구 유엔빌리지길 80-1,,
2021_01453,서울특별시 강서구 화곡로21길 71-1,,
2021_01563,서울특별시 서초구 신반포로 32,,
2021_01694,서울특별시 서초구 신반포로 45,,
2021_02270,서울특별시 중구 서소문로 89-1,,
2021_02329,서울특별시 은평구 서오릉로 80-1,,
2021_02338,서울특별시 금천구 시흥대로 291-1,,
2021_02374,서울특별시 서초구 신반포로 45,,
2021_02380,서울특별시 서초구 신반포로 32,,
2021_02485,서울특별시 중구 서소문로 89-1,,
2021_02516,서울특별시 은평구 서오릉로 119-1,,
2021_02601,서울특별시 강서구 화곡로21길 71-1,,
2021_02654,서울특별시 금천구 시흥대로 291-1,,
2021_02814,서울특별시 서초구 나루터로4길 49,,
2021_02815,서울특별시 서초구 신반포로 45,,
2021_02938,서울특별시 강서구 화곡로21길 71-1,,
2021_02946,서울특별시 은평구 연서로28길 12-1,,
2021_03273,서울특별시 강동구 진황도로 12,,
2021_03299,서울특별시 종로구 평창문화로 171,,
2021_03324,서울특별시 종로구 평창문화로 171,,
2021_03467,서울특별시 금천구 시흥대로 291-1,,
2021_03542,서울특별시 서초구 신반포로 45,,
2021_03649,서울특별시 금천구 시흥대로 291-1,,
2021_03694,서울특별시 금천구 시흥대로 291-1,,
2021_03835,서울특별시 서초구 신반포로 45,,
2021_03885,서울특별시 강서구 곰달래로18길 33-1,,
2021_04112,서울특별시 금천구 시흥대로 291-1,,
2021_04113,서울특별시 금천구 시흥대로 291-1,,
2021_04114,서울특별시 금천구 시흥대로 291-1,,
2021_04323,서울특별시 서초구 신반포로 45,,
2021_04379,서울특별시 은평구 서오릉로 80-1,,
2021_04444,서울특별시 서초구 나루터로4길 28,,
2021_04479,서울특별시 노원구 화랑로43길 34,,
2021_04774,서울특별시 금천구 시흥대로 291-1,,
2021_04778,서울특별시 금천구 시흥대로 291-1,,
2021_04779,서울특별시 은평구 은평로 116-1,,
2021_04795,서울특별시 서초구 신반포로 32,,
2021_04801,서울특별시 서초구 신반포로 32,,
2021_05078,서울특별시 서초구 나루터로4길 49,,
2021_05079,서울특별시 서초구 나루터로4길 39,,
