gu,dong,gu_dong,bus_count
강남구,개포동,강남구_개포동,74
강남구,논현동,강남구_논현동,44
강남구,대치동,강남구_대치동,66
강남구,도곡동,강남구_도곡동,41
강남구,삼성동,강남구_삼성동,56
강남구,세곡동,강남구_세곡동,34
강남구,수서동,강남구_수서동,27
강남구,신사동,강남구_신사동,77
강남구,압구정동,강남구_압구정동,18
강남구,역삼동,강남구_역삼동,77
강남구,율현동,강남구_율현동,11
강남구,일원동,강남구_일원동,41
강남구,자곡동,강남구_자곡동,20
강남구,청담동,강남구_청담동,26
강동구,강일동,강동구_강일동,50
강동구,고덕동,강동구_고덕동,41
강동구,길동,강동구_길동,37
강동구,둔촌동,강동구_둔촌동,38
강동구,명일동,강동구_명일동,36
강동구,상일동,강동구_상일동,59
강동구,성내동,강동구_성내동,59
강동구,암사동,강동구_암사동,31
강동구,천호동,강동구_천호동,52
강북구,미아동,강북구_미아동,153
강북구,번동,강북구_번동,100
강북구,수유동,강북구_수유동,143
강북구,우이동,강북구_우이동,16
강서구,가양동,강서구_가양동,44
강서구,개화동,강서구_개화동,10
강서구,공항동,강서구_공항동,38
강서구,과해동,강서구_과해동,3
강서구,내발산동,강서구_내발산동,46
강서구,등촌동,강서구_등촌동,74
강서구,마곡동,강서구_마곡동,88
강서구,방화동,강서구_방화동,67
강서구,염창동,강서구_염창동,36
강서구,오곡동,강서구_오곡동,2
강서구,오쇠동,강서구_오쇠동,2
강서구,외발산동,강서구_외발산동,23
강서구,화곡동,강서구_화곡동,189
관악구,남현동,관악구_남현동,9
관악구,봉천동,관악구_봉천동,209
관악구,신림동,관악구_신림동,272
광진구,광장동,광진구_광장동,38
광진구,구의동,광진구_구의동,56
광진구,군자동,광진구_군자동,22
광진구,능동,광진구_능동,9
광진구,자양동,광진구_자양동,58
광진구,중곡동,광진구_중곡동,89
광진구,화양동,광진구_화양동,21
구로구,가리봉동,구로구_가리봉동,9
구로구,개봉동,구로구_개봉동,88
구로구,고척동,구로구_고척동,69
구로구,구로동,구로구_구로동,156
구로구,궁동,구로구_궁동,25
구로구,신도림동,구로구_신도림동,41
구로구,오류동,구로구_오류동,47
구로구,온수동,구로구_온수동,15
구로구,천왕동,구로구_천왕동,29
구로구,항동,구로구_항동,30
금천구,가산동,금천구_가산동,104
금천구,독산동,금천구_독산동,113
금천구,시흥동,금천구_시흥동,138
노원구,공릉동,노원구_공릉동,98
노원구,상계동,노원구_상계동,187
노원구,월계동,노원구_월계동,109
노원구,중계동,노원구_중계동,75
노원구,하계동,노원구_하계동,53
도봉구,도봉동,도봉구_도봉동,79
도봉구,방학동,도봉구_방학동,79
