gu,dong,gu_dong,station_count
강남구,개포동,강남구_개포동,3
강남구,논현동,강남구_논현동,8
강남구,대치동,강남구_대치동,5
강남구,도곡동,강남구_도곡동,3
강남구,삼성동,강남구_삼성동,4
강남구,수서동,강남구_수서동,3
강남구,신사동,강남구_신사동,2
강남구,역삼동,강남구_역삼동,7
강남구,일원동,강남구_일원동,2
강동구,강일동,강동구_강일동,2
강동구,길동,강동구_길동,1
강동구,둔촌동,강동구_둔촌동,3
강동구,명일동,강동구_명일동,2
강동구,상일동,강동구_상일동,1
강동구,성내동,강동구_성내동,3
강동구,암사동,강동구_암사동,2
강동구,천호동,강동구_천호동,1
강북구,미아동,강북구_미아동,5
강북구,번동,강북구_번동,1
강북구,수유동,강북구_수유동,2
강북구,우이동,강북구_우이동,3
강서구,가양동,강서구_가양동,1
강서구,개화동,강서구_개화동,1
강서구,공항동,강서구_공항동,2
강서구,내발산동,강서구_내발산동,2
강서구,등촌동,강서구_등촌동,2
강서구,마곡동,강서구_마곡동,3
강서구,방화동,강서구_방화동,8
강서구,화곡동,강서구_화곡동,2
관악구,봉천동,관악구_봉천동,4
관악구,신림동,관악구_신림동,6
광진구,광장동,광진구_광장동,1
광진구,구의동,광진구_구의동,2
광진구,능동,광진구_능동,3
광진구,자양동,광진구_자양동,3
광진구,중곡동,광진구_중곡동,1
광진구,화양동,광진구_화양동,1
구로구,개봉동,구로구_개봉동,1
구로구,구로동,구로구_구로동,5
구로구,신도림동,구로구_신도림동,3
구로구,오류동,구로구_오류동,1
구로구,온수동,구로구_온수동,2
구로구,천왕동,구로구_천왕동,1
금천구,가산동,금천구_가산동,3
금천구,시흥동,금천구_시흥동,1
노원구,공릉동,노원구_공릉동,4
노원구,상계동,노원구_상계동,6
노원구,월계동,노원구_월계동,2
노원구,중계동,노원구_중계동,1
노원구,하계동,노원구_하계동,1
도봉구,도봉동,도봉구_도봉동,3
도봉구,방학동,도봉구_방학동,1
도봉구,창동,도봉구_창동,4
동대문구,신설동,동대문구_신설동,3
동대문구,용두동,동대문구_용두동,2
동대문구,이문동,동대문구_이문동,2
동대문구,전농동,동대문구_전농동,2
동대문구,제기동,동대문구_제기동,1
동대문구,휘경동,동대문구_휘경동,1
동작구,노량진동,동작구_노량진동,2
동작구,대방동,동작구_대방동,2
동작구,동작동,동작구_동작동,2
동작구,본동,동작구_본동,1
동작구,사당동,동작구_사당동,5
동작구,상도1동,동작구_상도1동,1
동작구,상도동,동작구_상도동,2
동작구,신대방동,동작구_신대방동,2
동작구,흑석동,동작구_흑석동,1
마포구,공덕동,마포구_공덕동,2
마포구,노고산동,마포구_노고산동,1
마포구,대흥동,마포구_대흥동,2
마포구,도화동,마포구_도화동,4
마포구,동교동,마포구_동교동,4
마포구,상수동,마포구_상수동,1
마포구,상암동,마포구_상암동,2
마포구,서교동,마포구_서교동,1
마포구,성산동,마포구_성산동,2
마포구,아현동,마포구_아현동,2
마포구,창전동,마포구_창전동,1
마포구,합정동,마포구_합정동,2
서대문구,남가좌동,서대문구_남가좌동,1
서대문구,신촌동,서대문구_신촌동,1
서대문구,창천동,서대문구_창천동,1
서대문구,충정로2가,서대문구_충정로2가,1
서대문구,충정로3가,서대문구_충정로3가,2
서대문구,현저동,서대문구_현저동,1
서대문구,홍제동,서대문구_홍제동,2
서초구,반포동,서초구_반포동,7
서초구,방배동,서초구_방배동,3
서초구,서초동,서초구_서초동,6
서초구,신원동,서초구_신원동,1
서초구,양재동,서초구_양재동,2
서초구,잠원동,서초구_잠원동,1
성동구,금호동1가,성동구_금호동1가,1
성동구,금호동4가,성동구_금호동4가,1
성동구,마장동,성동구_마장동,1
성동구,사근동,성동구_사근동,1
성동구,성수동1가,성동구_성수동1가,2
성동구,성수동2가,성동구_성수동2가,1
성동구,옥수동,성동구_옥수동,2
성동구,용답동,성동구_용답동,3
성동구,응봉동,성동구_응봉동,1
성동구,하왕십리동,성동구_하왕십리동,1
성동구,행당동,성동구_행당동,5
성북구,길음동,성북구_길음동,1
성북구,동소문동5가,성북구_동소문동5가,2
성북구,보문동2가,성북구_보문동2가,2
성북구,삼선동1가,성북구_삼선동1가,1
