gu,dong,gu_dong,park_count
강남구,개포동,강남구_개포동,0
강남구,논현동,강남구_논현동,0
강남구,대치동,강남구_대치동,0
강남구,세곡동,강남구_세곡동,0
강남구,수서동,강남구_수서동,0
강남구,압구정동,강남구_압구정동,0
강남구,역삼동,강남구_역삼동,0
강남구,율현동,강남구_율현동,0
강남구,자곡동,강남구_자곡동,0
강남구,청담동,강남구_청담동,0
강동구,강일동,강동구_강일동,0
강동구,둔촌동,강동구_둔촌동,0
강동구,성내동,강동구_성내동,0
강동구,암사동,강동구_암사동,0
강북구,미아동,강북구_미아동,0
강북구,수유동,강북구_수유동,0
강서구,개화동,강서구_개화동,0
강서구,공항동,강서구_공항동,0
강서구,과해동,강서구_과해동,0
강서구,마곡동,강서구_마곡동,0
강서구,오곡동,강서구_오곡동,0
강서구,오쇠동,강서구_오쇠동,0
강서구,외발산동,강서구_외발산동,0
관악구,남현동,관악구_남현동,0
광진구,구의동,광진구_구의동,0
광진구,군자동,광진구_군자동,0
광진구,자양동,광진구_자양동,0
광진구,중곡동,광진구_중곡동,0
광진구,화양동,광진구_화양동,0
구로구,가리봉동,구로구_가리봉동,0
구로구,구로동,구로구_구로동,0
구로구,궁동,구로구_궁동,0
구로구,신도림동,구로구_신도림동,0
구로구,온수동,구로구_온수동,0
구로구,천왕동,구로구_천왕동,0
금천구,가산동,금천구_가산동,0
노원구,공릉동,노원구_공릉동,0
노원구,상계동,노원구_상계동,0
노원구,월계동,노원구_월계동,0
노원구,중계동,노원구_중계동,0
노원구,하계동,노원구_하계동,0
동대문구,신설동,동대문구_신설동,0
동대문구,이문동,동대문구_이문동,0
동대문구,장안동,동대문구_장안동,0
동대문구,제기동,동대문구_제기동,0
동대문구,청량리동,동대문구_청량리동,0
동대문구,회기동,동대문구_회기동,0
동대문구,휘경동,동대문구_휘경동,0
동작구,본동,동작구_본동,0
동작구,상도1동,동작구_상도1동,0
동작구,상도동,동작구_상도동,0
동작구,흑석동,동작구_흑석동,0
마포구,공덕동,마포구_공덕동,0
마포구,구수동,마포구_구수동,0
마포구,노고산동,마포구_노고산동,0
마포구,당인동,마포구_당인동,0
마포구,대흥동,마포구_대흥동,0
마포구,도화동,마포구_도화동,0
마포구,동교동,마포구_동교동,0
마포구,마포동,마포구_마포동,0
마포구,망원동,마포구_망원동,0
마포구,상수동,마포구_상수동,0
마포구,서교동,마포구_서교동,0
마포구,성산동,마포구_성산동,0
마포구,신공덕동,마포구_신공덕동,0
마포구,신수동,마포구_신수동,0
마포구,아현동,마포구_아현동,0
마포구,연남동,마포구_연남동,0
마포구,염리동,마포구_염리동,0
마포구,용강동,마포구_용강동,0
마포구,중동,마포구_중동,0
마포구,토정동,마포구_토정동,0
마포구,하중동,마포구_하중동,0
마포구,현석동,마포구_현석동,0
서대문구,남가좌동,서대문구_남가좌동,0
서대문구,냉천동,서대문구_냉천동,0
서대문구,대신동,서대문구_대신동,0
서대문구,대현동,서대문구_대현동,0
