gu,dong,gu_dong,park_count
강남구,도곡동,강남구_도곡동,1
강남구,삼성동,강남구_삼성동,1
강남구,신사동,강남구_신사동,2
강남구,일원동,강남구_일원동,1
강동구,고덕동,강동구_고덕동,1
강동구,길동,강동구_길동,2
강동구,명일동,강동구_명일동,1
강동구,상일동,강동구_상일동,1
강동구,천호동,강동구_천호동,1
강북구,번동,강북구_번동,2
강북구,우이동,강북구_우이동,1
강서구,가양동,강서구_가양동,2
강서구,내발산동,강서구_내발산동,1
강서구,등촌동,강서구_등촌동,1
강서구,방화동,강서구_방화동,3
강서구,염창동,강서구_염창동,1
강서구,화곡동,강서구_화곡동,1
관악구,봉천동,관악구_봉천동,1
관악구,신림동,관악구_신림동,1
광진구,광장동,광진구_광장동,1
광진구,능동,광진구_능동,1
구로구,개봉동,구로구_개봉동,1
구로구,고척동,구로구_고척동,1
구로구,오류동,구로구_오류동,1
구로구,항동,구로구_항동,1
금천구,독산동,금천구_독산동,3
금천구,시흥동,금천구_시흥동,1
도봉구,도봉동,도봉구_도봉동,1
도봉구,방학동,도봉구_방학동,1
도봉구,쌍문동,도봉구_쌍문동,1
도봉구,창동,도봉구_창동,3
동대문구,답십리동,동대문구_답십리동,2
동대문구,용두동,동대문구_용두동,1
동대문구,전농동,동대문구_전농동,1
동작구,노량진동,동작구_노량진동,1
동작구,대방동,동작구_대방동,1
동작구,동작동,동작구_동작동,1
동작구,사당동,동작구_사당동,2
동작구,신대방동,동작구_신대방동,1
마포구,상암동,마포구_상암동,2
마포구,신정동,마포구_신정동,2
마포구,창전동,마포구_창전동,1
마포구,합정동,마포구_합정동,1
서대문구,연희동,서대문구_연희동,2
서대문구,현저동,서대문구_현저동,1
서대문구,홍은동,서대문구_홍은동,1
서초구,내곡동,서초구_내곡동,1
서초구,양재동,서초구_양재동,2
서초구,우면동,서초구_우면동,1
성동구,금호동1가,성동구_금호동1가,1
성동구,금호동3가,성동구_금호동3가,1
성동구,금호동4가,성동구_금호동4가,1
성동구,성수동1가,성동구_성수동1가,1
성동구,성수동2가,성동구_성수동2가,1
성북구,돈암동,성북구_돈암동,1
성북구,상월곡동,성북구_상월곡동,1
성북구,성북동,성북구_성북동,1
성북구,정릉동,성북구_정릉동,1
송파구,가락동,송파구_가락동,1
송파구,마천동,송파구_마천동,1
송파구,문정동,송파구_문정동,1
송파구,방이동,송파구_방이동,1
송파구,오금동,송파구_오금동,1
송파구,잠실동,송파구_잠실동,2
양천구,목동,양천구_목동,2
양천구,신월동,양천구_신월동,1
양천구,신정동,양천구_신정동,2
영등포구,양화동,영등포구_양화동,1
영등포구,여의도동,영등포구_여의도동,2
영등포구,영등포동,영등포구_영등포동,1
영등포구,영등포동2가,영등포구_영등포동2가,1
용산구,용산동2가,용산구_용산동2가,1
용산구,용산동6가,용산구_용산동6가,1
용산구,효창동,용산구_효창동,1
은평구,불광동,은평구_불광동,2
은평구,신사동,은평구_신사동,2
은평구,진관동,은평구_진관동,2
종로구,동숭동,종로구_동숭동,2
종로구,명륜3가,종로구_명륜3가,1
종로구,사직동,종로구_사직동,1
종로구,삼청동,종로구_삼청동,2
종로구,세종로,종로구_세종로,2
종로구,신문로2가,종로구_신문로2가,1
종로구,옥인동,종로구_옥인동,1
종로구,종로2가,종로구_종로2가,1
중구,만리동2가,중구_만리동2가,1
중구,을지로5가,중구_을지로5가,1
중랑구,망우동,중랑구_망우동,1
중랑구,면목동,중랑구_면목동,1
중랑구,신내동,중랑구_신내동,1
