park_name,gu,dong,gu_dong
,구로구,가리봉동,구로구_가리봉동
,금천구,가산동,금천구_가산동
,종로구,가회동,종로구_가회동
,용산구,갈월동,용산구_갈월동
,은평구,갈현동,은평구_갈현동
,강동구,강일동,강동구_강일동
,강남구,개포동,강남구_개포동
,강서구,개화동,강서구_개화동
,송파구,거여동,송파구_거여동
,종로구,견지동,종로구_견지동
,종로구,경운동,종로구_경운동
,종로구,계동,종로구_계동
,마포구,공덕동,마포구_공덕동
,노원구,공릉동,노원구_공릉동
,종로구,공평동,종로구_공평동
,강서구,공항동,강서구_공항동
,강서구,과해동,강서구_과해동
,종로구,관수동,종로구_관수동
,종로구,관철동,종로구_관철동
,종로구,관훈동,종로구_관훈동
,중구,광희동1가,중구_광희동1가
,중구,광희동2가,중구_광희동2가
,종로구,교남동,종로구_교남동
,종로구,교북동,종로구_교북동
,종로구,구기동,종로구_구기동
,구로구,구로동,구로구_구로동
,은평구,구산동,은평구_구산동
,마포구,구수동,마포구_구수동
,광진구,구의동,광진구_구의동
,광진구,군자동,광진구_군자동
,구로구,궁동,구로구_궁동
,종로구,궁정동,종로구_궁정동
,종로구,권농동,종로구_권농동
,성동구,금호동2가,성동구_금호동2가
,성북구,길음동,성북구_길음동
,종로구,낙원동,종로구_낙원동
,서대문구,남가좌동,서대문구_남가좌동
,중구,남대문로1가,중구_남대문로1가
,중구,남대문로2가,중구_남대문로2가
,중구,남대문로3가,중구_남대문로3가
,중구,남대문로4가,중구_남대문로4가
,중구,남대문로5가,중구_남대문로5가
,중구,남산동1가,중구_남산동1가
,중구,남산동2가,중구_남산동2가
,중구,남산동3가,중구_남산동3가
,용산구,남영동,용산구_남영동
,중구,남창동,중구_남창동
,중구,남학동,중구_남학동
,관악구,남현동,관악구_남현동
,종로구,내수동,종로구_내수동
,종로구,내자동,종로구_내자동
,서대문구,냉천동,서대문구_냉천동
,마포구,노고산동,마포구_노고산동
,은평구,녹번동,은평구_녹번동
,강남구,논현동,강남구_논현동
,종로구,누상동,종로구_누상동
,종로구,누하동,종로구_누하동
,중구,다동,중구_다동
,영등포구,당산동,영등포구_당산동
,영등포구,당산동1가,영등포구_당산동1가
,영등포구,당산동2가,영등포구_당산동2가
,영등포구,당산동3가,영등포구_당산동3가
,영등포구,당산동4가,영등포구_당산동4가
,영등포구,당산동5가,영등포구_당산동5가
,영등포구,당산동6가,영등포구_당산동6가
,마포구,당인동,마포구_당인동
,종로구,당주동,종로구_당주동
,영등포구,대림동,영등포구_대림동
,서대문구,대신동,서대문구_대신동
,은평구,대조동,은평구_대조동
,강남구,대치동,강남구_대치동
,서대문구,대현동,서대문구_대현동
,마포구,대흥동,마포구_대흥동
,종로구,도렴동,종로구_도렴동
,영등포구,도림동,영등포구_도림동
,성동구,도선동,성동구_도선동
,용산구,도원동,용산구_도원동
,마포구,도화동,마포구_도화동
,종로구,돈의동,종로구_돈의동
,마포구,동교동,마포구_동교동
,용산구,동빙고동,용산구_동빙고동
,성북구,동선동1가,성북구_동선동1가
,성북구,동선동2가,성북구_동선동2가
,성북구,동선동3가,성북구_동선동3가
,성북구,동선동4가,성북구_동선동4가
,성북구,동선동5가,성북구_동선동5가
,성북구,동소문동1가,성북구_동소문동1가
,성북구,동소문동2가,성북구_동소문동2가
,성북구,동소문동3가,성북구_동소문동3가
,성북구,동소문동4가,성북구_동소문동4가
,성북구,동소문동5가,성북구_동소문동5가
,성북구,동소문동6가,성북구_동소문동6가
,성북구,동소문동7가,성북구_동소문동7가
,용산구,동자동,용산구_동자동
,강동구,둔촌동,강동구_둔촌동
,강서구,마곡동,강서구_마곡동
,성동구,마장동,성동구_마장동
,마포구,마포동,마포구_마포동
,중구,만리동1가,중구_만리동1가
,마포구,망원동,마포구_망원동
,중구,명동1가,중구_명동1가
,중구,명동2가,중구_명동2가
,종로구,명륜1가,종로구_명륜1가
,종로구,명륜2가,종로구_명륜2가
,종로구,명륜4가,종로구_명륜4가
,종로구,묘동,종로구_묘동
,중구,무교동,중구_무교동
,종로구,무악동,종로구_무악동
,중구,무학동,중구_무학동
,중랑구,묵동,중랑구_묵동
,중구,묵정동,중구_묵정동
,영등포구,문래동1가,영등포구_문래동1가
,영등포구,문래동2가,영등포구_문래동2가
,영등포구,문래동3가,영등포구_문래동3가
,영등포구,문래동4가,영등포구_문래동4가
,영등포구,문래동5가,영등포구_문래동5가
,영등포구,문래동6가,영등포구_문래동6가
,용산구,문배동,용산구_문배동
,서대문구,미근동,서대문구_미근동
,강북구,미아동,강북구_미아동
,서초구,반포동,서초구_반포동
,서초구,방배동,서초구_방배동
,중구,방산동,중구_방산동
,용산구,보광동,용산구_보광동
,성북구,보문동1가,성북구_보문동1가
,성북구,보문동2가,성북구_보문동2가
,성북구,보문동3가,성북구_보문동3가
,성북구,보문동4가,성북구_보문동4가
,성북구,보문동5가,성북구_보문동5가
,성북구,보문동6가,성북구_보문동6가
,성북구,보문동7가,성북구_보문동7가
,동작구,본동,동작구_본동
,중구,봉래동1가,중구_봉래동1가
,중구,봉래동2가,중구_봉래동2가
,서대문구,봉원동,서대문구_봉원동
