station_name,line,gu,dong,gu_dong
,,강남구,개포1동,강남구_개포1동
대모산입구,분당선,강남구,개포2동,강남구_개포2동
구룡,분당선,강남구,개포2동,강남구_개포2동
개포동,분당선,강남구,개포2동,강남구_개포2동
대청,3호선,강남구,개포3동,강남구_개포3동
,,강남구,개포4동,강남구_개포4동
신사,신분당선(연장2),강남구,논현1동,강남구_논현1동
논현,7호선,강남구,논현1동,강남구_논현1동
신사,3호선,강남구,논현1동,강남구_논현1동
논현,신분당선(연장2),강남구,논현1동,강남구_논현1동
강남구청,7호선,강남구,논현2동,강남구_논현2동
학동,7호선,강남구,논현2동,강남구_논현2동
강남구청,분당선,강남구,논현2동,강남구_논현2동
선정릉,분당선,강남구,논현2동,강남구_논현2동
도곡,3호선,강남구,대치1동,강남구_대치1동
대치,3호선,강남구,대치2동,강남구_대치2동
삼성,수도권 광역급행철도,강남구,대치2동,강남구_대치2동
삼성(무역센터),2호선,강남구,대치2동,강남구_대치2동
학여울,3호선,강남구,대치2동,강남구_대치2동
,,강남구,대치4동,강남구_대치4동
매봉,3호선,강남구,도곡1동,강남구_도곡1동
한티,분당선,강남구,도곡2동,강남구_도곡2동
도곡,분당선,강남구,도곡2동,강남구_도곡2동
봉은사,9호선(연장),강남구,삼성1동,강남구_삼성1동
청담,7호선,강남구,삼성1동,강남구_삼성1동
삼성중앙,9호선(연장),강남구,삼성2동,강남구_삼성2동
선정릉,9호선(연장),강남구,삼성2동,강남구_삼성2동
,,강남구,세곡동,강남구_세곡동
수서,3호선,강남구,수서동,강남구_수서동
수서,분당선,강남구,수서동,강남구_수서동
수서,수도권 광역급행철도,강남구,수서동,강남구_수서동
,,강남구,신사동,강남구_신사동
압구정,3호선,강남구,압구정동,강남구_압구정동
압구정로데오,분당선,강남구,압구정동,강남구_압구정동
신논현,신분당선(연장2),강남구,역삼1동,강남구_역삼1동
선릉,분당선,강남구,역삼1동,강남구_역삼1동
언주,9호선(연장),강남구,역삼1동,강남구_역삼1동
신논현,9호선,강남구,역삼1동,강남구_역삼1동
역삼,2호선,강남구,역삼1동,강남구_역삼1동
선릉,2호선,강남구,역삼1동,강남구_역삼1동
강남,2호선,강남구,역삼1동,강남구_역삼1동
,,강남구,역삼2동,강남구_역삼2동
,,강남구,일원1동,강남구_일원1동
일원,3호선,강남구,일원본동,강남구_일원본동
,,강남구,청담동,강남구_청담동
강일,5호선,강동구,강일동,강동구_강일동
강일,5호선,강동구,강일동,강동구_강일동
,,강동구,고덕1동,강동구_고덕1동
,,강동구,고덕2동,강동구_고덕2동
길동,5호선,강동구,길동,강동구_길동
둔촌오륜,9호선(연장),강동구,둔촌1동,강동구_둔촌1동
둔촌동,5호선,강동구,둔촌1동,강동구_둔촌1동
중앙보훈병원,9호선(연장),강동구,둔촌2동,강동구_둔촌2동
명일,5호선,강동구,명일1동,강동구_명일1동
고덕,5호선,강동구,명일2동,강동구_명일2동
상일동,5호선,강동구,상일1동,강동구_상일1동
,,강동구,상일2동,강동구_상일2동
강동구청,8호선,강동구,성내1동,강동구_성내1동
강동,5호선,강동구,성내2동,강동구_성내2동
천호(풍납토성),8호선,강동구,성내2동,강동구_성내2동
,,강동구,성내3동,강동구_성내3동
,,강동구,암사1동,강동구_암사1동
암사,8호선,강동구,암사2동,강동구_암사2동
암사역사공원,8호선,강동구,암사3동,강동구_암사3동
굽은다리(강동구민회관앞),5호선,강동구,천호1동,강동구_천호1동
,,강동구,천호2동,강동구_천호2동
,,강동구,천호3동,강동구_천호3동
미아(서울사이버대학),4호선,강북구,미아동,강북구_미아동
수유(강북구청),4호선,강북구,번1동,강북구_번1동
,,강북구,번2동,강북구_번2동
,,강북구,번3동,강북구_번3동
,,강북구,삼각산동,강북구_삼각산동
삼양사거리,우이신설선,강북구,삼양동,강북구_삼양동
삼양,우이신설선,강북구,삼양동,강북구_삼양동
솔샘,우이신설선,강북구,삼양동,강북구_삼양동
,,강북구,송중동,강북구_송중동
미아사거리,4호선,강북구,송천동,강북구_송천동
화계,우이신설선,강북구,수유1동,강북구_수유1동
가오리,우이신설선,강북구,수유2동,강북구_수유2동
,,강북구,수유3동,강북구_수유3동
솔밭공원,우이신설선,강북구,우이동,강북구_우이동
4.19민주묘지,우이신설선,강북구,우이동,강북구_우이동
북한산우이,우이신설선,강북구,우이동,강북구_우이동
,,강북구,인수동,강북구_인수동
양천향교,9호선,강서구,가양1동,강서구_가양1동
마곡나루,9호선,강서구,가양1동,강서구_가양1동
마곡,5호선,강서구,가양1동,강서구_가양1동
,,강서구,가양2동,강서구_가양2동
,,강서구,가양3동,강서구_가양3동
송정,5호선,강서구,공항동,강서구_공항동
공항시장,9호선,강서구,공항동,강서구_공항동
증미,9호선,강서구,등촌1동,강서구_등촌1동
,,강서구,등촌2동,강서구_등촌2동
가양,9호선,강서구,등촌3동,강서구_등촌3동
우장산,5호선,강서구,발산1동,강서구_발산1동
마곡나루,공항철도1호선,강서구,방화1동,강서구_방화1동
신방화,9호선,강서구,방화1동,강서구_방화1동
김포공항,5호선,강서구,방화2동,강서구_방화2동
개화,9호선,강서구,방화2동,강서구_방화2동
김포공항,공항철도1호선,강서구,방화2동,강서구_방화2동
김포공항,김포골드라인,강서구,방화2동,강서구_방화2동
김포공항,서해선,강서구,방화2동,강서구_방화2동
개화산,5호선,강서구,방화2동,강서구_방화2동
김포공항,9호선,강서구,방화2동,강서구_방화2동
방화,5호선,강서구,방화3동,강서구_방화3동
,,강서구,염창동,강서구_염창동
발산,5호선,강서구,우장산동,강서구_우장산동
화곡,5호선,강서구,화곡1동,강서구_화곡1동
까치산,5호선,강서구,화곡1동,강서구_화곡1동
,,강서구,화곡2동,강서구_화곡2동
,,강서구,화곡3동,강서구_화곡3동
,,강서구,화곡4동,강서구_화곡4동
,,강서구,화곡6동,강서구_화곡6동
,,강서구,화곡8동,강서구_화곡8동
,,강서구,화곡본동,강서구_화곡본동
,,관악구,낙성대동,관악구_낙성대동
,,관악구,난곡동,관악구_난곡동
,,관악구,난향동,관악구_난향동
,,관악구,남현동,관악구_남현동
관악산(서울대),신림선,관악구,대학동,관악구_대학동
,,관악구,미성동,관악구_미성동
,,관악구,보라매,관악구_보라매
,,관악구,삼성동,관악구_삼성동
서울대벤처타운,신림선,관악구,서림동,관악구_서림동
신림,2호선,관악구,서원동,관악구_서원동
서원,신림선,관악구,서원동,관악구_서원동
,,관악구,성현동,관악구_성현동
신림,신림선,관악구,신림동,관악구_신림동
신대방,2호선,관악구,신사동,관악구_신사동
,,관악구,신원동,관악구_신원동
,,관악구,은천동,관악구_은천동
낙성대,2호선,관악구,인헌동,관악구_인헌동
,,관악구,조원동,관악구_조원동
,,관악구,중앙동,관악구_중앙동
서울대입구(관악구청),2호선,관악구,청룡동,관악구_청룡동
봉천,2호선,관악구,청룡동,관악구_청룡동
,,관악구,청림동,관악구_청림동
,,관악구,행운동,관악구_행운동
광나루(장신대),5호선,광진구,광장동,광진구_광장동
구의(광진구청),2호선,광진구,구의1동,광진구_구의1동
아차산(어린이대공원후문),5호선,광진구,구의2동,광진구_구의2동
강변(동서울터미널),2호선,광진구,구의3동,광진구_구의3동
,,광진구,군자동,광진구_군자동
군자(능동),5호선,광진구,능동,광진구_능동
군자(능동),7호선,광진구,능동,광진구_능동
어린이대공원(세종대),7호선,광진구,능동,광진구_능동
,,광진구,자양1동,광진구_자양1동
,,광진구,자양2동,광진구_자양2동
,,광진구,자양3동,광진구_자양3동
뚝섬유원지,7호선,광진구,자양4동,광진구_자양4동
,,광진구,중곡1동,광진구_중곡1동
,,광진구,중곡2동,광진구_중곡2동
중곡,7호선,광진구,중곡3동,광진구_중곡3동
,,광진구,중곡4동,광진구_중곡4동
건대입구,2호선,광진구,화양동,광진구_화양동
건대입구,7호선,광진구,화양동,광진구_화양동
,,구로구,가리봉동,구로구_가리봉동
개봉,경인선,구로구,개봉1동,구로구_개봉1동
,,구로구,개봉2동,구로구_개봉2동
,,구로구,개봉3동,구로구_개봉3동
,,구로구,고척1동,구로구_고척1동
,,구로구,고척2동,구로구_고척2동
,,구로구,구로1동,구로구_구로1동
구일,경인선,구로구,구로2동,구로구_구로2동
남구로,7호선,구로구,구로3동,구로구_구로3동
구로디지털단지,2호선,구로구,구로3동,구로구_구로3동
대림(구로구청),2호선,구로구,구로4동,구로구_구로4동
구로,경부선,구로구,구로5동,구로구_구로5동
온수(성공회대입구),경인선,구로구,수궁동,구로구_수궁동
온수(성공회대입구),7호선,구로구,수궁동,구로구_수궁동
신도림,경부선,구로구,신도림동,구로구_신도림동
신도림,2호선,구로구,신도림동,구로구_신도림동
도림천,2호선,구로구,신도림동,구로구_신도림동
오류동,경인선,구로구,오류1동,구로구_오류1동
천왕,7호선,구로구,오류2동,구로구_오류2동
,,구로구,항동,구로구_항동
가산디지털단지,7호선,금천구,가산동,금천구_가산동
가산디지털단지,경부선,금천구,가산동,금천구_가산동
독산,경부선,금천구,가산동,금천구_가산동
,,금천구,독산1동,금천구_독산1동
,,금천구,독산2동,금천구_독산2동
,,금천구,독산3동,금천구_독산3동
,,금천구,독산4동,금천구_독산4동
금천구청,경부선,금천구,시흥1동,금천구_시흥1동
,,금천구,시흥2동,금천구_시흥2동
,,금천구,시흥3동,금천구_시흥3동
,,금천구,시흥4동,금천구_시흥4동
,,금천구,시흥5동,금천구_시흥5동
공릉(서울과학기술대),7호선,노원구,공릉1동,노원구_공릉1동
태릉입구,6호선,노원구,공릉1동,노원구_공릉1동
태릉입구,7호선,노원구,공릉1동,노원구_공릉1동
화랑대(서울여대입구),6호선,노원구,공릉2동,노원구_공릉2동
,,노원구,상계10동,노원구_상계10동
수락산,7호선,노원구,상계1동,노원구_상계1동
노원,4호선,노원구,상계2동,노원구_상계2동
당고개,4호선,노원구,상계3·4동,노원구_상계3·4동
상계,4호선,노원구,상계5동,노원구_상계5동
노원,7호선,노원구,상계6·7동,노원구_상계6·7동
마들,7호선,노원구,상계8동,노원구_상계8동
,,노원구,상계9동,노원구_상계9동
,,노원구,월계1동,노원구_월계1동
월계,경원선,노원구,월계2동,노원구_월계2동
광운대,경원선,노원구,월계3동,노원구_월계3동
,,노원구,중계1동,노원구_중계1동
중계,7호선,노원구,중계2·3동,노원구_중계2·3동
,,노원구,중계4동,노원구_중계4동
,,노원구,중계본동,노원구_중계본동
,,노원구,하계1동,노원구_하계1동
하계,7호선,노원구,하계2동,노원구_하계2동
,,도봉구,도봉1동,도봉구_도봉1동
도봉,경원선,도봉구,도봉2동,도봉구_도봉2동
도봉산,7호선,도봉구,도봉2동,도봉구_도봉2동
도봉산,경원선,도봉구,도봉2동,도봉구_도봉2동
방학,경원선,도봉구,방학1동,도봉구_방학1동
,,도봉구,방학2동,도봉구_방학2동
,,도봉구,방학3동,도봉구_방학3동
,,도봉구,쌍문1동,도봉구_쌍문1동
,,도봉구,쌍문2동,도봉구_쌍문2동
,,도봉구,쌍문3동,도봉구_쌍문3동
,,도봉구,쌍문4동,도봉구_쌍문4동
쌍문,4호선,도봉구,창1동,도봉구_창1동
녹천,경원선,도봉구,창1동,도봉구_창1동
,,도봉구,창2동,도봉구_창2동
,,도봉구,창3동,도봉구_창3동
창동,경원선,도봉구,창4동,도봉구_창4동
창동,4호선,도봉구,창5동,도봉구_창5동
,,동대문구,답십리1동,동대문구_답십리1동
,,동대문구,답십리2동,동대문구_답십리2동
용두(동대문구청),2호선,동대문구,용신동,동대문구_용신동
신설동,우이신설선,동대문구,용신동,동대문구_용신동
제기동,1호선,동대문구,용신동,동대문구_용신동
신설동,1호선,동대문구,용신동,동대문구_용신동
신설동,2호선,동대문구,용신동,동대문구_용신동
외대앞,경원선,동대문구,이문1동,동대문구_이문1동
신이문,경원선,동대문구,이문2동,동대문구_이문2동
,,동대문구,장안1동,동대문구_장안1동
,,동대문구,장안2동,동대문구_장안2동
청량리(서울시립대입구),1호선,동대문구,전농1동,동대문구_전농1동
청량리(서울시립대입구),경원선,동대문구,전농1동,동대문구_전농1동
,,동대문구,전농2동,동대문구_전농2동
고려대(종암),6호선,동대문구,제기동,동대문구_제기동
,,동대문구,청량리동,동대문구_청량리동
,,동대문구,회기동,동대문구_회기동
회기,중앙선,동대문구,휘경1동,동대문구_휘경1동
,,동대문구,휘경2동,동대문구_휘경2동
노량진,9호선,동작구,노량진1동,동작구_노량진1동
노량진,경부선,동작구,노량진1동,동작구_노량진1동
노들,9호선,동작구,노량진1동,동작구_노량진1동
,,동작구,노량진2동,동작구_노량진2동
신대방삼거리,7호선,동작구,대방동,동작구_대방동
보라매,7호선,동작구,대방동,동작구_대방동
사당,2호선,동작구,사당1동,동작구_사당1동
사당,4호선,동작구,사당1동,동작구_사당1동
이수,7호선,동작구,사당1동,동작구_사당1동
총신대입구(이수),4호선,동작구,사당2동,동작구_사당2동
동작(현충원),9호선,동작구,사당2동,동작구_사당2동
동작(현충원),4호선,동작구,사당2동,동작구_사당2동
,,동작구,사당3동,동작구_사당3동
남성,7호선,동작구,사당4동,동작구_사당4동
,,동작구,사당5동,동작구_사당5동
숭실대입구(살피재),7호선,동작구,상도1동,동작구_상도1동
상도,7호선,동작구,상도1동,동작구_상도1동
장승배기,7호선,동작구,상도2동,동작구_상도2동
,,동작구,상도3동,동작구_상도3동
,,동작구,상도4동,동작구_상도4동
,,동작구,신대방1동,동작구_신대방1동
보라매공원,신림선,동작구,신대방2동,동작구_신대방2동
보라매병원,신림선,동작구,신대방2동,동작구_신대방2동
흑석(중앙대입구),9호선,동작구,흑석동,동작구_흑석동
공덕,6호선,마포구,공덕동,마포구_공덕동
공덕,5호선,마포구,공덕동,마포구_공덕동
이대,2호선,마포구,대흥동,마포구_대흥동
대흥(서강대앞),6호선,마포구,대흥동,마포구_대흥동
서강대,경의중앙선,마포구,대흥동,마포구_대흥동
공덕,경의중앙선,마포구,도화동,마포구_도화동
공덕,경의중앙선,마포구,도화동,마포구_도화동
공덕,공항철도1호선,마포구,도화동,마포구_도화동
,,마포구,망원1동,마포구_망원1동
,,마포구,망원2동,마포구_망원2동
디지털미디어시티,6호선,마포구,상암동,마포구_상암동
디지털미디어시티,공항철도1호선,마포구,상암동,마포구_상암동
광흥창(서강),6호선,마포구,서강동,마포구_서강동
상수,6호선,마포구,서강동,마포구_서강동
홍대입구,2호선,마포구,서교동,마포구_서교동
망원,6호선,마포구,서교동,마포구_서교동
홍대입구,경의중앙선,마포구,서교동,마포구_서교동
홍대입구,경의중앙선,마포구,서교동,마포구_서교동
홍대입구,공항철도1호선,마포구,서교동,마포구_서교동
