station_name,line,gu,dong,gu_dong
,,강남구,세곡동,강남구_세곡동
,,강남구,압구정동,강남구_압구정동
,,강남구,율현동,강남구_율현동
,,강남구,자곡동,강남구_자곡동
,,강남구,청담동,강남구_청담동
,,강동구,고덕동,강동구_고덕동
,,강서구,과해동,강서구_과해동
,,강서구,염창동,강서구_염창동
,,강서구,오곡동,강서구_오곡동
,,강서구,오쇠동,강서구_오쇠동
,,강서구,외발산동,강서구_외발산동
,,관악구,남현동,관악구_남현동
,,광진구,군자동,광진구_군자동
,,구로구,가리봉동,구로구_가리봉동
,,구로구,고척동,구로구_고척동
,,구로구,궁동,구로구_궁동
,,구로구,항동,구로구_항동
,,금천구,독산동,금천구_독산동
,,도봉구,쌍문동,도봉구_쌍문동
,,동대문구,답십리동,동대문구_답십리동
,,동대문구,장안동,동대문구_장안동
,,동대문구,청량리동,동대문구_청량리동
,,동대문구,회기동,동대문구_회기동
,,마포구,구수동,마포구_구수동
,,마포구,당인동,마포구_당인동
,,마포구,마포동,마포구_마포동
,,마포구,망원동,마포구_망원동
,,마포구,신공덕동,마포구_신공덕동
,,마포구,신수동,마포구_신수동
,,마포구,신정동,마포구_신정동
,,마포구,연남동,마포구_연남동
,,마포구,염리동,마포구_염리동
,,마포구,용강동,마포구_용강동
,,마포구,중동,마포구_중동
,,마포구,토정동,마포구_토정동
,,마포구,하중동,마포구_하중동
,,마포구,현석동,마포구_현석동
,,서대문구,냉천동,서대문구_냉천동
,,서대문구,대신동,서대문구_대신동
,,서대문구,대현동,서대문구_대현동
,,서대문구,미근동,서대문구_미근동
,,서대문구,봉원동,서대문구_봉원동
,,서대문구,북가좌동,서대문구_북가좌동
,,서대문구,북아현동,서대문구_북아현동
,,서대문구,연희동,서대문구_연희동
,,서대문구,영천동,서대문구_영천동
,,서대문구,옥천동,서대문구_옥천동
,,서대문구,천연동,서대문구_천연동
,,서대문구,합동,서대문구_합동
,,서대문구,홍은동,서대문구_홍은동
,,서초구,내곡동,서초구_내곡동
,,서초구,염곡동,서초구_염곡동
,,서초구,우면동,서초구_우면동
,,서초구,원지동,서초구_원지동
,,성동구,금호동2가,성동구_금호동2가
,,성동구,금호동3가,성동구_금호동3가
,,성동구,도선동,성동구_도선동
,,성동구,상왕십리동,성동구_상왕십리동
,,성동구,송정동,성동구_송정동
,,성동구,홍익동,성동구_홍익동
,,성북구,돈암동,성북구_돈암동
,,성북구,동선동1가,성북구_동선동1가
,,성북구,동선동2가,성북구_동선동2가
,,성북구,동선동3가,성북구_동선동3가
,,성북구,동선동4가,성북구_동선동4가
,,성북구,동선동5가,성북구_동선동5가
,,성북구,동소문동1가,성북구_동소문동1가
,,성북구,동소문동2가,성북구_동소문동2가
,,성북구,동소문동3가,성북구_동소문동3가
,,성북구,동소문동4가,성북구_동소문동4가
,,성북구,동소문동6가,성북구_동소문동6가
,,성북구,동소문동7가,성북구_동소문동7가
,,성북구,보문동1가,성북구_보문동1가
,,성북구,보문동3가,성북구_보문동3가
,,성북구,보문동4가,성북구_보문동4가
,,성북구,보문동5가,성북구_보문동5가
,,성북구,보문동6가,성북구_보문동6가
,,성북구,보문동7가,성북구_보문동7가
,,성북구,삼선동2가,성북구_삼선동2가
,,성북구,삼선동3가,성북구_삼선동3가
,,성북구,삼선동4가,성북구_삼선동4가
,,성북구,삼선동5가,성북구_삼선동5가
,,성북구,성북동,성북구_성북동
,,성북구,성북동1가,성북구_성북동1가
,,성북구,안암동1가,성북구_안암동1가
,,성북구,안암동2가,성북구_안암동2가
,,성북구,안암동3가,성북구_안암동3가
,,성북구,안암동4가,성북구_안암동4가
,,성북구,종암동,성북구_종암동
,,송파구,삼전동,송파구_삼전동
,,송파구,송파동,송파구_송파동
,,양천구,신월동,양천구_신월동
,,영등포구,당산동,영등포구_당산동
,,영등포구,당산동1가,영등포구_당산동1가
,,영등포구,당산동4가,영등포구_당산동4가
,,영등포구,도림동,영등포구_도림동
,,영등포구,문래동1가,영등포구_문래동1가
,,영등포구,문래동2가,영등포구_문래동2가
,,영등포구,문래동4가,영등포구_문래동4가
,,영등포구,문래동5가,영등포구_문래동5가
,,영등포구,문래동6가,영등포구_문래동6가
,,영등포구,양평동,영등포구_양평동
,,영등포구,양평동1가,영등포구_양평동1가
,,영등포구,양평동3가,영등포구_양평동3가
,,영등포구,양평동4가,영등포구_양평동4가
,,영등포구,양평동6가,영등포구_양평동6가
,,영등포구,양화동,영등포구_양화동
,,영등포구,영등포동2가,영등포구_영등포동2가
,,영등포구,영등포동3가,영등포구_영등포동3가
,,영등포구,영등포동4가,영등포구_영등포동4가
,,영등포구,영등포동6가,영등포구_영등포동6가
,,영등포구,영등포동7가,영등포구_영등포동7가
,,영등포구,영등포동8가,영등포구_영등포동8가
,,용산구,남영동,용산구_남영동
