station_name,line,gu,dong,gu_dong
,,강남구,개포1동,강남구_개포1동
,,강남구,개포4동,강남구_개포4동
,,강남구,대치4동,강남구_대치4동
,,강남구,세곡동,강남구_세곡동
,,강남구,신사동,강남구_신사동
,,강남구,역삼2동,강남구_역삼2동
,,강남구,일원1동,강남구_일원1동
,,강남구,청담동,강남구_청담동
,,강동구,고덕1동,강동구_고덕1동
,,강동구,고덕2동,강동구_고덕2동
,,강동구,상일2동,강동구_상일2동
,,강동구,성내3동,강동구_성내3동
,,강동구,암사1동,강동구_암사1동
,,강동구,천호2동,강동구_천호2동
,,강동구,천호3동,강동구_천호3동
,,강북구,번2동,강북구_번2동
,,강북구,번3동,강북구_번3동
,,강북구,삼각산동,강북구_삼각산동
,,강북구,송중동,강북구_송중동
,,강북구,수유3동,강북구_수유3동
,,강북구,인수동,강북구_인수동
,,강서구,가양2동,강서구_가양2동
,,강서구,가양3동,강서구_가양3동
,,강서구,등촌2동,강서구_등촌2동
,,강서구,염창동,강서구_염창동
,,강서구,화곡2동,강서구_화곡2동
,,강서구,화곡3동,강서구_화곡3동
,,강서구,화곡4동,강서구_화곡4동
,,강서구,화곡6동,강서구_화곡6동
,,강서구,화곡8동,강서구_화곡8동
,,강서구,화곡본동,강서구_화곡본동
,,관악구,낙성대동,관악구_낙성대동
,,관악구,난곡동,관악구_난곡동
,,관악구,난향동,관악구_난향동
,,관악구,남현동,관악구_남현동
,,관악구,미성동,관악구_미성동
,,관악구,보라매,관악구_보라매
,,관악구,삼성동,관악구_삼성동
,,관악구,성현동,관악구_성현동
,,관악구,신원동,관악구_신원동
,,관악구,은천동,관악구_은천동
,,관악구,조원동,관악구_조원동
,,관악구,중앙동,관악구_중앙동
,,관악구,청림동,관악구_청림동
,,관악구,행운동,관악구_행운동
,,광진구,군자동,광진구_군자동
,,광진구,자양1동,광진구_자양1동
,,광진구,자양2동,광진구_자양2동
,,광진구,자양3동,광진구_자양3동
,,광진구,중곡1동,광진구_중곡1동
,,광진구,중곡2동,광진구_중곡2동
,,광진구,중곡4동,광진구_중곡4동
,,구로구,가리봉동,구로구_가리봉동
,,구로구,개봉2동,구로구_개봉2동
,,구로구,개봉3동,구로구_개봉3동
,,구로구,고척1동,구로구_고척1동
,,구로구,고척2동,구로구_고척2동
,,구로구,구로1동,구로구_구로1동
,,구로구,항동,구로구_항동
,,금천구,독산1동,금천구_독산1동
,,금천구,독산2동,금천구_독산2동
,,금천구,독산3동,금천구_독산3동
,,금천구,독산4동,금천구_독산4동
,,금천구,시흥2동,금천구_시흥2동
,,금천구,시흥3동,금천구_시흥3동
,,금천구,시흥4동,금천구_시흥4동
,,금천구,시흥5동,금천구_시흥5동
,,노원구,상계10동,노원구_상계10동
,,노원구,상계9동,노원구_상계9동
,,노원구,월계1동,노원구_월계1동
,,노원구,중계1동,노원구_중계1동
,,노원구,중계4동,노원구_중계4동
,,노원구,중계본동,노원구_중계본동
,,노원구,하계1동,노원구_하계1동
,,도봉구,도봉1동,도봉구_도봉1동
,,도봉구,방학2동,도봉구_방학2동
,,도봉구,방학3동,도봉구_방학3동
,,도봉구,쌍문1동,도봉구_쌍문1동
,,도봉구,쌍문2동,도봉구_쌍문2동
,,도봉구,쌍문3동,도봉구_쌍문3동
,,도봉구,쌍문4동,도봉구_쌍문4동
,,도봉구,창2동,도봉구_창2동
,,도봉구,창3동,도봉구_창3동
,,동대문구,답십리1동,동대문구_답십리1동
,,동대문구,답십리2동,동대문구_답십리2동
,,동대문구,장안1동,동대문구_장안1동
,,동대문구,장안2동,동대문구_장안2동
,,동대문구,전농2동,동대문구_전농2동
,,동대문구,청량리동,동대문구_청량리동
,,동대문구,회기동,동대문구_회기동
,,동대문구,휘경2동,동대문구_휘경2동
,,동작구,노량진2동,동작구_노량진2동
,,동작구,사당3동,동작구_사당3동
,,동작구,사당5동,동작구_사당5동
,,동작구,상도3동,동작구_상도3동
,,동작구,상도4동,동작구_상도4동
,,동작구,신대방1동,동작구_신대방1동
,,마포구,망원1동,마포구_망원1동
,,마포구,망원2동,마포구_망원2동
,,마포구,성산1동,마포구_성산1동
,,마포구,신수동,마포구_신수동
,,마포구,연남동,마포구_연남동
,,마포구,염리동,마포구_염리동
,,서대문구,남가좌2동,서대문구_남가좌2동
,,서대문구,북가좌1동,서대문구_북가좌1동
,,서대문구,북가좌2동,서대문구_북가좌2동
,,서대문구,북아현동,서대문구_북아현동
,,서대문구,연희동,서대문구_연희동
,,서대문구,홍은1동,서대문구_홍은1동
,,서대문구,홍은2동,서대문구_홍은2동
,,서대문구,홍제2동,서대문구_홍제2동
,,서대문구,홍제3동,서대문구_홍제3동
,,서초구,반포3동,서초구_반포3동
,,서초구,방배4동,서초구_방배4동
,,서초구,방배본동,서초구_방배본동
,,서초구,서초4동,서초구_서초4동
,,성동구,금호2·3가동 ,성동구_금호2·3가동 
,,성동구,성수2가1동 ,성동구_성수2가1동 
,,성동구,송정동,성동구_송정동
,,성동구,왕십리도선동,성동구_왕십리도선동
,,성북구,길음2동,성북구_길음2동
,,성북구,돈암1동,성북구_돈암1동
,,성북구,돈암2동,성북구_돈암2동
,,성북구,동선동,성북구_동선동
,,성북구,성북동,성북구_성북동
,,성북구,월곡1동,성북구_월곡1동
,,성북구,장위1동,성북구_장위1동
,,성북구,장위3동,성북구_장위3동
,,성북구,정릉2동,성북구_정릉2동
,,성북구,정릉3동,성북구_정릉3동
,,성북구,종암동,성북구_종암동
,,송파구,거여2동,송파구_거여2동
,,송파구,마천2동,송파구_마천2동
,,송파구,문정1동,송파구_문정1동
,,송파구,삼전동,송파구_삼전동
,,송파구,송파1동,송파구_송파1동
